WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
"$75,000 under $100,000",98603, 43 , 35 , 25 , 128 , 22 ," 3,621 "," 3,018 ", 8 , -   , -   , -   , -   , 240 , -   , -   , -   , 824 , 36 , 30 , 79 , 146 , 392 , 41 ," 2,238 ", 57 , -   , 52 , -   , -   , -   , -   , 272 , 289 , 49 , (138),
"$100,000 under $200,000",98603, 35 , 33 , 21 , 96 , 16 ," 5,030 "," 3,453 ", 95 , 21 , -   , -   , -   , -   , -   , -   , -   , 681 , 61 , 25 , 80 , 180 , 385 , 21 ," 3,441 ", -   , -   , -   , -   , -   , -   , -   , 602 , 618 , -   , (108),
"$200,000 or more",98603, * , * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98604," 14,057 "," 7,513 "," 6,843 "," 32,678 "," 5,731 "," 813,616 "," 615,609 "," 17,367 "," 13,603 "," 22,571 "," 26,627 "," 18,171 "," 54,354 "," 5,817 "," 16,766 ", 489 ," 156,608 "," 12,710 "," 5,647 "," 19,302 "," 38,420 "," 80,612 "," 16,500 "," 513,192 "," 6,948 ", -   ," 5,361 ", 272 ," 3,379 "," 2,806 "," 1,059 "," 79,199 "," 84,408 "," 8,847 "," (32,715)",
"Under $10,000",98604," 2,210 ", 280 , 837 ," 2,175 ", 270 ," 6,868 "," 10,671 ", 979 , 400 , (589), 748 , 578 ," 1,242 ", 237 , -   , -   ," 5,075 ", 79 , 70 , 712 , 939 ," 2,578 ", 77 , 638 , -   , -   , -   , -   , 514 , 434 , -   , 63 , 312 , 84 ," (1,762)",
"$10,000 under $25,000",98604," 2,521 ", 598 ," 1,124 "," 4,284 ", 708 ," 43,524 "," 32,326 "," 1,532 ", 674 ," 2,891 ", 85 ," 1,366 "," 4,235 "," 1,042 ", 254 , -   ," 8,309 ", 105 , 167 , 943 ," 1,237 "," 3,205 ", 516 ," 12,448 ", 180 , -   , 62 , 11 ," 2,076 "," 1,743 ", -   ," 1,163 "," 1,745 ", 206 ," (4,447)",
"$25,000 under $50,000",98604," 3,069 "," 1,393 "," 1,513 "," 7,290 "," 1,331 "," 113,018 "," 90,944 "," 2,176 "," 1,156 "," 4,111 ", 454 ," 2,183 "," 9,229 "," 1,958 "," 2,739 ", -   ," 21,352 ", 716 , 741 ," 2,637 "," 4,178 "," 11,622 "," 1,753 "," 52,628 "," 1,200 ", -   , 895 , 57 , 789 , 628 , -   ," 5,261 "," 6,304 ", 608 ," (7,044)",
"$50,000 under $75,000",98604," 2,451 "," 1,782 "," 1,282 "," 7,128 "," 1,291 "," 152,269 "," 123,729 "," 2,269 "," 1,353 "," 3,992 ", 527 ," 3,615 "," 11,185 "," 1,156 "," 4,900 ", 94 ," 32,845 "," 1,933 "," 1,211 "," 3,885 "," 7,208 "," 18,378 "," 2,745 "," 86,164 "," 2,182 ", -   ," 1,896 ", 55 , -   , -   , -   ," 9,519 "," 10,406 ", 725 ," (6,673)",
"$75,000 under $100,000",98604," 1,747 "," 1,550 ", 891 ," 5,467 "," 1,004 "," 151,766 "," 123,982 "," 1,958 "," 1,381 "," 2,947 ", 677 ," 3,221 "," 11,540 ", 793 ," 4,245 ", -   ," 31,839 "," 2,537 "," 1,234 "," 4,008 "," 7,919 "," 17,675 "," 3,095 "," 96,813 "," 1,937 ", -   ," 1,608 ", 82 , -   , -   , -   ," 11,761 "," 12,489 ", 821 ," (5,171)",
"$100,000 under $200,000",98604," 1,753 "," 1,632 ", 964 ," 5,425 ", 978 ," 227,128 "," 178,770 "," 3,882 "," 2,346 "," 6,519 "," 4,663 "," 5,504 "," 14,227 ", 631 ," 3,870 ", 188 ," 42,966 "," 4,596 "," 1,731 "," 5,468 "," 12,005 "," 22,347 "," 4,918 "," 162,672 "," 1,104 ", -   , 900 , 67 , -   , -   , 129 ," 26,987 "," 28,300 "," 2,179 "," (5,713)",
"$200,000 or more",98604, 306 , 278 , 232 , 909 , 149 ," 119,043 "," 55,187 "," 4,570 "," 6,292 "," 2,700 "," 19,474 "," 1,703 "," 2,694 ", -   , 757 , 207 ," 14,222 "," 2,744 ", 494 ," 1,650 "," 4,935 "," 4,807 "," 3,396 "," 101,830 ", 343 , -   , -   , -   , -   , -   , 930 ," 24,445 "," 24,853 "," 4,224 "," (1,905)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98605, 665 , 250 , 315 ," 1,362 ", 249 ," 33,792 "," 27,896 ", 336 , 221 , 623 ," 1,252 ", 146 ," 1,204 ", 359 , 345 , -   ," 2,008 ", 192 , 56 , 179 , 415 , 951 , 199 ," 23,531 ", 186 , -   , 135 , 8 , 266 , 221 , -   ," 4,494 "," 4,680 ", 634 ," (1,108)",
"Under $10,000",98605, 116 , 16 , 48 , 142 , 25 , 387 , 483 , 6 , 5 , 32 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 27 , -   , -   , -   , -   , 44 , 37 , -   , 3 , 14 , -   , (76),
"$10,000 under $25,000",98605, 171 , 36 , 77 , 348 , 75 ," 3,073 "," 2,291 ", 60 , 53 , 215 , -   , 146 , 284 , 140 , -   , -   , 205 , -   , -   , 26 , 26 , 174 , -   , 769 , 16 , -   , 8 , -   , 171 , 144 , -   , 67 , 111 , 18 , (323),
"$25,000 under $50,000",98605, 192 , 68 , 98 , 427 , 81 ," 6,893 "," 5,916 ", 83 , 23 , 232 , 73 , -   , 285 , 130 , 100 , -   , 537 , 28 , 18 , 46 , 85 , 195 , 52 ," 3,599 ", 69 , -   , 54 , 8 , 52 , 40 , -   , 376 , 423 , 36 , (356),
"$50,000 under $75,000",98605, 93 , 64 , 44 , 220 , 29 ," 5,644 "," 4,622 ", 69 , 21 , 113 , 31 , -   , 427 , 89 , 245 , -   , 433 , 30 , 14 , 39 , 83 , 215 , 25 ," 3,789 ", 53 , -   , 39 , -   , -   , -   , -   , 483 , 520 , 51 , (152),
"$75,000 under $100,000",98605, 44 , 36 , 22 , 120 , 20 ," 3,840 "," 3,444 ", 40 , 29 , 31 , -   , -   , 207 , -   , -   , -   , 410 , 55 , -   , 40 , 103 , 229 , 15 ," 2,747 ", 41 , -   , 33 , -   , -   , -   , -   , 365 , 378 , -   , (129),
"$100,000 under $200,000",98605, 36 , 20 , 26 , 78 , 19 ," 5,088 "," 4,085 ", 58 , 23 , -   ," 1,145 ", -   , -   , -   , -   , -   , 422 , 79 , 24 , 28 , 118 , 138 , 107 ," 4,267 ", 8 , -   , -   , -   , -   , -   , -   , 843 , 874 , 529 , (71),
"$200,000 or more",98605, 13 , 10 , -   , 27 , -   ," 8,867 "," 7,054 ", 20 , 66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,332 ", -   , -   , -   , -   , -   , -   , -   ," 2,358 "," 2,360 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98606," 4,142 "," 2,343 "," 2,110 "," 9,463 "," 1,558 "," 316,947 "," 211,769 "," 8,106 "," 8,353 "," 12,018 "," 23,310 "," 7,408 "," 20,102 "," 1,511 "," 6,726 ", 687 ," 57,612 "," 4,921 "," 2,160 "," 9,164 "," 16,683 "," 27,027 "," 6,916 "," 220,210 "," 1,912 ", -   ," 1,150 ", 48 , 651 , 528 , 600 ," 39,849 "," 42,113 "," 5,715 "," (9,763)",
"Under $10,000",98606, 715 , 94 , 253 , 610 , 76 ," 1,570 "," 3,601 ", 316 , 227 , (445), 122 , 132 , 267 , 76 , -   , -   ," 2,206 ", 15 , 20 , 342 , 410 , 996 , 28 , 296 , -   , -   , -   , -   , 120 , 102 , -   , 30 , 94 , 22 , (467),
"$10,000 under $25,000",98606, 656 , 158 , 309 ," 1,066 ", 147 ," 11,195 "," 7,848 ", 514 , 215 , 830 , 34 , 341 ," 1,397 ", 312 , 69 , -   ," 2,389 ", 32 , 55 , 379 , 506 , 999 , 159 ," 3,301 ", 46 , -   , 11 , -   , 408 , 330 , -   , 311 , 487 , 57 ," (1,027)",
"$25,000 under $50,000",98606, 753 , 346 , 370 ," 1,605 ", 250 ," 27,743 "," 19,986 ", 804 , 441 ," 1,028 ", 239 , 918 ," 3,388 ", 363 , 997 , -   ," 5,908 ", 158 , 174 , 957 ," 1,507 "," 2,673 ", 490 ," 13,296 ", 216 , -   , 137 , 9 , 124 , 96 , -   ," 1,421 "," 1,695 ", 140 ," (1,440)",
"$50,000 under $75,000",98606, 606 , 443 , 353 ," 1,691 ", 278 ," 37,917 "," 28,582 ", 947 , 640 ," 1,120 ", 222 ," 1,168 "," 3,542 ", 348 ," 1,645 ", -   ," 8,558 ", 447 , 323 ," 1,450 "," 2,257 "," 4,146 ", 755 ," 21,234 ", 419 , -   , 340 , 12 , -   , -   , -   ," 2,457 "," 2,734 ", 233 ," (1,808)",
"$75,000 under $100,000",98606, 473 , 423 , 280 ," 1,408 ", 235 ," 41,032 "," 30,149 ", 852 , 582 ," 1,235 ", 324 ," 1,389 "," 4,212 ", 125 ," 1,682 ", -   ," 9,027 ", 542 , 365 ," 1,529 "," 2,465 "," 4,654 "," 1,017 "," 25,808 ", 404 , -   , 316 , 6 , -   , -   , -   ," 3,214 "," 3,507 ", 345 ," (1,322)",
"$100,000 under $200,000",98606, 731 , 682 , 386 ," 2,378 ", 447 ," 98,448 "," 77,312 "," 1,970 "," 1,316 "," 4,978 "," 1,800 "," 2,606 "," 4,974 ", 287 ," 1,780 ", 378 ," 19,188 "," 1,814 ", 791 ," 3,080 "," 5,744 "," 9,748 "," 2,150 "," 69,842 ", 464 , -   , 345 , 21 , -   , -   , 56 ," 11,736 "," 12,558 "," 1,142 "," (2,268)",
"$200,000 or more",98606, 208 , 197 , 159 , 705 , 125 ," 99,041 "," 44,291 "," 2,703 "," 4,930 "," 3,272 "," 20,569 ", 853 ," 2,323 ", -   , 553 , 309 ," 10,336 "," 1,913 ", 433 ," 1,426 "," 3,793 "," 3,811 "," 2,317 "," 86,434 ", 364 , -   , -   , -   , -   , -   , 544 ," 20,680 "," 21,038 "," 3,775 "," (1,429)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98607," 11,402 "," 6,266 "," 5,429 "," 26,179 "," 4,798 "," 974,074 "," 701,537 "," 21,363 "," 23,167 "," 32,826 "," 53,631 "," 24,877 "," 46,923 "," 4,547 "," 15,712 "," 2,227 "," 184,007 "," 17,942 "," 6,073 "," 29,927 "," 54,725 "," 88,509 "," 21,347 "," 684,017 "," 5,940 ", -   ," 3,818 ", 266 ," 1,879 "," 1,522 "," 1,945 "," 129,665 "," 135,940 "," 15,249 "," (30,447)",
"Under $10,000",98607," 1,714 ", 196 , 592 ," 1,528 ", 199 ," 4,778 "," 9,633 "," 1,235 ", 667 ," (2,300)"," 1,564 ", 448 , 758 , 195 , -   , -   ," 5,335 ", 73 , 55 , 898 ," 1,117 "," 2,808 ", 66 , 551 , -   , -   , -   , -   , 416 , 358 , -   , 58 , 254 , 67 ," (1,486)",
"$10,000 under $25,000",98607," 1,617 ", 353 , 672 ," 2,574 ", 423 ," 27,683 "," 19,986 "," 1,044 ", 572 ," 2,255 ", 253 ," 1,178 "," 3,252 ", 702 , 215 , 30 ," 6,021 ", 88 , 129 ," 1,035 "," 1,267 "," 2,824 ", 385 ," 8,009 ", 136 , -   , 47 , 6 ," 1,154 ", 927 , -   , 724 ," 1,178 ", 196 ," (2,717)",
"$25,000 under $50,000",98607," 1,957 ", 737 , 903 ," 3,881 ", 670 ," 72,386 "," 55,275 "," 2,122 "," 1,212 "," 2,054 ", 396 ," 1,952 "," 7,634 "," 1,077 "," 2,270 ", -   ," 14,992 ", 585 , 435 ," 2,556 "," 3,651 "," 7,413 "," 1,153 "," 35,838 ", 631 , -   , 445 , 25 , 309 , 237 , -   ," 3,841 "," 4,374 ", 375 ," (3,747)",
"$50,000 under $75,000",98607," 1,597 "," 1,001 ", 843 ," 4,043 ", 737 ," 99,575 "," 77,278 "," 2,056 "," 1,809 "," 3,017 ", 562 ," 2,959 "," 7,871 ", 979 ," 3,633 ", -   ," 22,995 "," 1,326 ", 762 ," 3,849 "," 6,036 "," 11,921 "," 2,026 "," 57,699 "," 1,175 ", -   , 941 , 32 , -   , -   , -   ," 6,821 "," 7,499 ", 616 ," (4,202)",
"$75,000 under $100,000",98607," 1,446 "," 1,199 ", 717 ," 4,327 ", 819 ," 125,972 "," 102,177 "," 2,039 "," 1,962 "," 2,822 "," 1,335 "," 3,106 "," 9,132 ", 635 ," 3,654 ", 125 ," 30,264 "," 2,357 ", 925 ," 4,884 "," 8,264 "," 15,384 "," 2,881 "," 78,427 "," 1,561 ", -   ," 1,223 ", 56 , -   , -   , -   ," 9,660 "," 10,310 ", 615 ," (4,791)",
"$100,000 under $200,000",98607," 2,296 "," 2,070 "," 1,168 "," 7,386 "," 1,477 "," 311,078 "," 257,984 "," 4,972 "," 4,322 "," 10,098 "," 4,007 "," 6,887 "," 13,428 ", 822 ," 3,860 ", 880 ," 64,583 "," 6,428 "," 2,324 "," 10,778 "," 19,792 "," 32,530 "," 7,110 "," 218,561 "," 1,542 ", -   ," 1,161 ", 115 , -   , -   , 173 ," 37,064 "," 38,895 "," 2,481 "," (8,982)",
"$200,000 or more",98607, 775 , 710 , 534 ," 2,440 ", 473 ," 332,600 "," 179,204 "," 7,896 "," 12,622 "," 14,879 "," 45,514 "," 8,347 "," 4,847 ", 137 ," 2,080 "," 1,192 "," 39,817 "," 7,084 "," 1,442 "," 5,927 "," 14,598 "," 15,630 "," 7,725 "," 284,933 ", 894 , -   , -   , 31 , -   , -   ," 1,772 "," 71,495 "," 73,429 "," 10,900 "," (4,522)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98610," 1,208 ", 548 , 653 ," 2,442 ", 430 ," 50,887 "," 39,493 "," 1,286 ", 504 , 690 ," 1,187 ", 672 ," 4,638 ", 800 ," 1,197 ", -   ," 6,383 ", 504 , 205 , 559 ," 1,364 "," 2,911 ", 390 ," 31,104 ", 387 , -   , 296 , 10 , 394 , 358 , -   ," 4,310 "," 4,513 ", 275 ," (2,451)",
"Under $10,000",98610, 233 , 34 , 111 , 269 , 44 , 735 ," 1,579 ", 79 , 16 , (34), 23 , 39 , 162 , -   , -   , -   , 234 , -   , -   , -   , 31 , 114 , -   , 56 , -   , -   , -   , -   , 67 , 62 , -   , 5 , 15 , -   , (257),
"$10,000 under $25,000",98610, 294 , 73 , 154 , 513 , 96 ," 5,101 "," 3,655 ", 178 , 78 , 206 , 4 , 140 , 697 , 214 , 20 , -   , 361 , -   , 11 , 52 , 51 , 190 , 23 ," 1,362 ", 19 , -   , 10 , -   , 276 , 251 , -   , 129 , 176 , 25 , (623),
"$25,000 under $50,000",98610, 283 , 118 , 155 , 581 , 96 ," 10,470 "," 7,927 ", 142 , 146 , 142 , 52 , 116 ," 1,373 ", 334 , 265 , -   ," 1,065 ", 57 , 34 , 81 , 161 , 477 , 80 ," 5,563 ", 87 , -   , 68 , -   , 51 , 44 , -   , 594 , 628 , 60 , (526),
"$50,000 under $75,000",98610, 201 , 148 , 114 , 521 , 92 ," 12,349 "," 10,039 ", 156 , 53 , 198 , 42 , 229 ," 1,117 ", 135 , 522 , -   ," 1,832 ", 154 , 52 , 118 , 340 , 897 , 120 ," 7,582 ", 138 , -   , 113 , 10 , -   , -   , -   , 887 , 928 , 44 , (498),
"$75,000 under $100,000",98610, 121 , 106 , 69 , 349 , 67 ," 10,265 "," 8,675 ", 169 , 53 , 179 , 315 , 149 , 663 , 117 , 391 , -   ," 1,421 ", 139 , 56 , 100 , 301 , 635 , 109 ," 7,048 ", 109 , -   , 82 , -   , -   , -   , -   , 888 , 930 , 32 , (353),
"$100,000 under $200,000",98610, 63 , 58 , 40 , 178 , 35 ," 7,958 "," 5,535 ", 206 , 157 , -   , 750 , -   , 626 , -   , -   , -   ," 1,027 ", 155 , 51 , 109 , 251 , 599 , 59 ," 6,018 ", 35 , -   , 24 , -   , -   , -   , -   , 999 ," 1,028 ", 114 , (194),
"$200,000 or more",98610, 13 , 11 , 10 , 31 , -   ," 4,009 "," 2,085 ", 355 , -   , -   , -   , -   , -   , -   , -   , -   , 442 , -   , -   , 98 , 230 , -   , -   ," 3,474 ", -   , -   , -   , -   , -   , -   , -   , 808 , 808 , -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98611," 4,113 "," 2,155 "," 2,029 "," 8,547 "," 1,383 "," 199,111 "," 145,471 "," 5,222 "," 1,379 "," 3,829 "," 2,825 "," 6,206 "," 19,127 "," 2,384 "," 6,829 ", -   ," 25,699 ", 734 ," 1,869 "," 2,494 "," 5,326 "," 12,612 "," 2,488 "," 126,091 "," 1,410 ", -   ," 1,093 ", 64 ," 1,006 ", 904 , 50 ," 18,072 "," 19,007 "," 1,600 "," (8,010)",
"Under $10,000",98611, 638 , 108 , 254 , 722 , 99 ," 2,296 "," 2,802 ", 213 , 130 , 33 , (21), 105 , 400 , 67 , -   , -   , 682 , -   , 9 , 73 , 87 , 271 , 22 , 135 , -   , -   , -   , -   , 201 , 182 , -   , 12 , 60 , 14 , (440),
"$10,000 under $25,000",98611, 846 , 227 , 374 ," 1,426 ", 225 ," 14,433 "," 9,834 ", 681 , 187 , 498 , 50 , 479 ," 2,416 ", 408 , 119 , -   ," 1,456 ", 11 , 48 , 151 , 216 , 579 , 95 ," 3,779 ", 51 , -   , 23 , 4 , 653 , 600 , -   , 354 , 466 , 46 ," (1,525)",
"$25,000 under $50,000",98611, 991 , 450 , 523 ," 2,035 ", 337 ," 36,532 "," 25,537 "," 1,131 ", 303 , 691 , 236 ," 1,446 "," 5,076 ", 710 ," 1,611 ", -   ," 4,450 ", 107 , 249 , 442 , 824 ," 2,251 ", 391 ," 18,707 ", 314 , -   , 241 , 12 , 152 , 122 , -   ," 1,967 "," 2,167 ", 152 ," (2,017)",
"$50,000 under $75,000",98611, 761 , 568 , 411 ," 1,898 ", 308 ," 47,252 "," 36,678 ", 845 , 271 , 902 , 186 ," 1,275 "," 4,364 ", 667 ," 2,096 ", -   ," 5,859 ", 152 , 439 , 558 ," 1,184 "," 2,947 ", 464 ," 30,117 ", 472 , -   , 401 , 17 , -   , -   , -   ," 3,690 "," 3,867 ", 274 ," (1,783)",
"$75,000 under $100,000",98611, 487 , 430 , 228 ," 1,363 ", 236 ," 41,747 "," 33,465 ", 839 , 167 , 419 , 382 , 998 ," 2,770 ", 331 ," 1,603 ", -   ," 6,105 ", 162 , 608 , 563 ," 1,375 "," 3,110 ", 580 ," 28,602 ", 389 , -   , 310 , 18 , -   , -   , -   ," 3,705 "," 3,802 ", 218 ," (1,300)",
"$100,000 under $200,000",98611, 356 , 338 , 209 , 999 , 162 ," 44,998 "," 32,759 ", 892 , 213 ," 1,287 "," 1,466 "," 1,902 "," 4,102 ", 202 ," 1,178 ", -   ," 6,114 ", 302 , 461 , 600 ," 1,311 "," 3,066 ", 764 ," 34,350 ", 185 , -   , 118 , 13 , -   , -   , -   ," 5,740 "," 6,022 ", 502 , (839),
"$200,000 or more",98611, 34 , 34 , 30 , 104 , 16 ," 11,853 "," 4,396 ", 621 , 108 , -   , 527 , -   , -   , -   , 222 , -   ," 1,034 ", -   , 53 , 107 , 329 , 389 , 172 ," 10,401 ", -   , -   , -   , -   , -   , -   , 50 ," 2,603 "," 2,624 ", 395 , (106),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98612," 1,292 ", 663 , 761 ," 2,480 ", 328 ," 62,592 "," 36,896 "," 2,984 "," 1,133 "," 1,050 "," 1,356 "," 2,538 "," 9,999 ", 528 ," 3,332 ", -   ," 8,394 ", 253 , 507 , 828 ," 1,707 "," 3,331 ", 858 ," 40,912 ", 323 , -   , 240 , 8 , 252 , 212 , -   ," 6,352 "," 6,776 ", 652 ," (2,176)",
"Under $10,000",98612, 259 , 51 , 123 , 306 , 38 , 560 ," 1,025 ", 136 , 62 , (239), (20), 65 , 183 , -   , -   , -   , 616 , -   , 23 , 51 , 80 , 233 , 20 , 20 , -   , -   , -   , -   , 66 , 54 , -   , 2 , 37 , 16 , (153),
"$10,000 under $25,000",98612, 264 , 92 , 139 , 442 , 47 ," 4,595 "," 2,383 ", 334 , 80 , 57 , 46 , 294 ," 1,240 ", 135 , 61 , -   , 601 , -   , 19 , 59 , 88 , 210 , 49 ," 1,186 ", 16 , -   , 5 , -   , 135 , 122 , -   , 110 , 155 , 33 , (385),
"$25,000 under $50,000",98612, 288 , 145 , 169 , 594 , 87 ," 10,644 "," 6,468 ", 415 , 182 , 419 , 130 , 336 ," 2,115 ", 182 , 604 , -   ," 1,226 ", 29 , 59 , 101 , 185 , 531 , 108 ," 5,395 ", 80 , -   , 61 , -   , 51 , 36 , -   , 564 , 682 , 106 , (527),
"$50,000 under $75,000",98612, 214 , 142 , 143 , 458 , 63 ," 13,341 "," 8,706 ", 535 , 226 , 225 , 190 , 566 ," 2,003 ", 111 ," 1,006 ", -   ," 1,857 ", 73 , 119 , 179 , 379 , 719 , 174 ," 8,671 ", 93 , -   , 72 , 8 , -   , -   , -   ," 1,125 "," 1,183 ", 90 , (447),
"$75,000 under $100,000",98612, 129 , 114 , 80 , 325 , 44 ," 11,038 "," 7,000 ", 348 , 144 , 92 , 185 , 362 ," 2,040 ", 101 , 796 , -   ," 1,349 ", 59 , 74 , 131 , 268 , 650 , 179 ," 7,836 ", 67 , -   , 55 , -   , -   , -   , -   ," 1,052 "," 1,094 ", 95 , (299),
"$100,000 under $200,000",98612, 118 , 102 , 89 , 315 , 49 ," 15,163 "," 8,837 ", 791 , 342 , 496 , 709 , 915 ," 2,418 ", -   , 866 , -   ," 2,033 ", 93 , 164 , 249 , 514 , 987 , 271 ," 11,619 ", 66 , -   , 47 , -   , -   , -   , -   ," 1,929 "," 2,028 ", 261 , (366),
"$200,000 or more",98612, 20 , 17 , 18 , 40 , -   ," 7,252 "," 2,478 ", 424 , 97 , -   , 115 , -   , -   , -   , -   , -   , 713 , -   , 49 , 57 , 193 , -   , 58 ," 6,186 ", -   , -   , -   , -   , -   , -   , -   ," 1,569 "," 1,598 ", 53 , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98614, 269 , 118 , 166 , 454 , 54 ," 13,894 "," 5,755 ", 492 , 129 , 480 , 533 , 154 ," 1,550 ", 46 , 388 , -   ," 1,368 ", 48 , 63 , 154 , 375 , 447 , 117 ," 8,233 ", 35 , -   , 24 , -   , 46 , 7 , -   ," 1,335 "," 1,532 ", 346 , (277),
"Under $10,000",98614, 57 , 10 , 30 , 57 , -   , 228 , 214 , 17 , -   , (14), -   , -   , -   , -   , -   , -   , -   , -   , 6 , 21 , -   , -   , -   , -   , -   , -   , -   , -   , 14 , 7 , -   , -   , 9 , 4 , (35),
"$10,000 under $25,000",98614, 64 , 21 , 36 , 104 , 19 ," 1,099 ", 692 , 86 , 20 , -   , (42), 59 , 237 , -   , -   , -   , 223 , -   , -   , -   , 34 , -   , 27 , 312 , -   , -   , -   , -   , 32 , -   , -   , 31 , 37 , -   , (80),
"$25,000 under $50,000",98614, 61 , 21 , 38 , 102 , 13 ," 2,188 "," 1,371 ", 41 , 58 , 175 , -   , -   , 319 , 46 , 108 , -   , 242 , -   , 23 , 33 , 52 , 128 , -   ," 1,243 ", 11 , -   , -   , -   , -   , -   , -   , 144 , 177 , 35 , (80),
"$50,000 under $75,000",98614, 43 , 34 , 34 , 92 , 12 ," 2,661 "," 2,020 ", 120 , 41 , -   , 18 , 95 , 533 , -   , 280 , -   , 386 , 48 , -   , 39 , 106 , 120 , 54 ," 1,709 ", 24 , -   , 24 , -   , -   , -   , -   , 208 , 233 , 54 , (83),
"$75,000 under $100,000",98614, 14 , 11 , -   , 31 , -   ," 1,221 ", -   , 66 , -   , 319 , -   , -   , 462 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 932 , -   , -   , -   , -   , -   , -   , -   , 139 , 158 , -   , -   ,
"$100,000 under $200,000",98614, 30 , 21 , 28 , 68 , 10 ," 6,496 "," 1,458 ", 161 , 10 , -   , 556 , -   , -   , -   , -   , -   , 518 , -   , 34 , 61 , 183 , 199 , 36 ," 4,037 ", -   , -   , -   , -   , -   , -   , -   , 812 , 919 , 253 , -   ,
"$200,000 or more",98614, * , * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98617, 467 , 227 , 257 , 960 , 153 ," 19,655 "," 14,014 ", 346 , 142 , 59 , 49 , 356 ," 2,238 ", 177 , 706 , -   ," 1,986 ", 192 , 35 , 159 , 412 , 789 , 175 ," 12,020 ", 120 , -   , 85 , 3 , 157 , 147 , -   ," 1,630 "," 1,700 ", 139 , (809),
"Under $10,000",98617, 75 , 14 , 34 , 100 , 16 , 327 , 269 , 7 , -   , 34 , -   , -   , 55 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 37 , 35 , -   , -   , 4 , -   , (60),
"$10,000 under $25,000",98617, 120 , 34 , 57 , 211 , 36 ," 1,990 "," 1,448 ", 99 , 28 , -   , (23), 78 , 234 , 46 , -   , -   , 313 , -   , 11 , 20 , 32 , 95 , -   , 440 , 3 , -   , -   , -   , 94 , 90 , -   , 43 , 51 , 5 , (195),
"$25,000 under $50,000",98617, 123 , 68 , 70 , 296 , 50 ," 4,536 "," 3,286 ", 56 , 16 , -   , 24 , 103 , 689 , 90 , 191 , -   , 400 , 33 , -   , 30 , 70 , 193 , 44 ," 2,206 ", 43 , -   , 32 , 3 , 26 , 22 , -   , 221 , 236 , 25 , (224),
"$50,000 under $75,000",98617, 80 , 56 , 58 , 178 , 25 ," 5,027 "," 3,470 ", 132 , 73 , 25 , 35 , 174 , 597 , 41 , 327 , -   , 534 , 58 , 24 , 41 , 110 , 217 , 33 ," 3,351 ", 44 , -   , 27 , -   , -   , -   , -   , 415 , 442 , 33 , (172),
