adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
"$50,000 or more      ","1,877","5,332","1,884","144,396","1,767","116,127","1,172","1,852","1,862","17,195","1,019","2,121",254,63,"1,265"
,,,,,,,,,,,,,,,
98600,18,29,9,357,16,294,**,**,10,25,**,**,**,--,**
"Under $10,000        ",**,**,**,**,**,**,**,**,*       10,*         25,--,--,--,--,--
"$10,000 under $25,000",*       18,*       29,*        9,*        357,*       16,*        294,**,**,**,**,--,--,**,--,--
"$25,000 under $50,000",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
98601,"1,083","2,422",818,"43,630",919,"34,848",563,705,830,"4,000",328,534,185,66,453
"Under $10,000        ",188,219,42,277,133,745,64,65,35,6,**,**,34,*       18,14
"$10,000 under $25,000",234,364,77,"4,094",185,"2,861",93,152,176,161,*       27,*       22,20,**,32
"$25,000 under $50,000",297,697,242,"10,924",263,"8,967",153,131,262,702,84,92,57,11,133
"$50,000 or more      ",364,"1,142",457,"28,335",338,"22,275",253,357,357,"3,131",217,420,74,37,274
,,,,,,,,,,,,,,,
98602,77,178,57,"2,249",61,"1,688",45,84,51,178,13,35,19,**,19
"Under $10,000        ",21,32,7,73,12,44,*       20,*       19,**,**,--,--,**,--,**
"$10,000 under $25,000",23,55,17,406,20,330,**,**,*       20,*         10,**,**,*       19,**,**
"$25,000 under $50,000",19,50,17,652,16,473,13,53,17,33,*       13,*       35,**,**,**
"$50,000 or more      ",14,41,16,"1,118",13,841,12,12,14,135,**,**,**,--,*       19
,,,,,,,,,,,,,,,
98603,317,703,240,"14,333",264,"9,878",175,395,243,"1,676",86,184,60,**,127
"Under $10,000        ",60,59,16,253,41,223,29,31,24,4,**,**,*       17,--,**
"$10,000 under $25,000",68,129,42,"1,172",52,839,23,27,44,34,**,**,**,**,*       15
"$25,000 under $50,000",85,216,81,"3,283",73,"2,494",51,95,71,205,*       32,*       33,17,**,41
"$50,000 or more      ",104,299,101,"9,625",98,"6,322",72,242,104,"1,433",54,151,26,**,71
,,,,,,,,,,,,,,,
98604,"11,368","26,756","10,053","584,388","9,869","452,384","6,322","11,205","9,023","65,889","4,664","11,640","1,822",217,"5,709"
"Under $10,000        ","1,719","1,443",324,"4,990","1,349","7,248",634,563,518,111,56,87,200,20,137
"$10,000 under $25,000","2,231","3,670","1,063","38,056","1,758","27,618",842,"1,337","1,565","1,472",265,482,267,19,390
"$25,000 under $50,000","2,833","6,995","2,667","105,496","2,501","85,748","1,440","1,809","2,435","6,309","1,045","1,725",491,49,"1,395"
"$50,000 or more      ","4,585","14,648","5,999","435,846","4,261","331,770","3,406","7,496","4,505","57,997","3,298","9,346",864,129,"3,787"
,,,,,,,,,,,,,,,
98605,586,"1,196",410,"17,694",510,"14,803",242,310,403,"1,495",89,145,106,**,126
"Under $10,000        ",108,130,40,191,78,461,29,32,23,4,**,**,26,--,**
"$10,000 under $25,000",197,363,121,"3,393",169,"2,700",61,75,124,116,*       15,*       12,24,**,*       27
"$25,000 under $50,000",179,434,168,"6,417",168,"5,404",78,42,154,431,25,27,30,**,41
"$50,000 or more      ",102,269,81,"7,693",95,"6,238",74,161,102,944,49,106,26,**,58
,,,,,,,,,,,,,,,
98606,"3,682","8,462","3,087","217,610","3,102","163,458","2,362","5,692","2,939","29,678","1,586","4,604",680,127,"1,842"
"Under $10,000        ",652,491,96,"-1,267",476,"3,293",282,378,208,45,20,27,88,22,56
"$10,000 under $25,000",648,996,232,"11,172",498,"7,773",288,378,477,450,76,114,77,13,116
"$25,000 under $50,000",729,"1,685",571,"26,773",617,"19,944",434,805,631,"1,718",242,545,155,23,307
"$50,000 or more      ","1,653","5,290","2,188","180,932","1,511","132,448","1,358","4,131","1,623","27,465","1,248","3,918",360,69,"1,363"
,,,,,,,,,,,,,,,
98607,"9,081","20,857","7,369","592,173","7,840","462,600","5,391","13,612","7,365","82,547","4,242","14,333","1,434",79,"4,936"
"Under $10,000        ","1,337","1,143",269,"1,617","1,032","6,101",451,513,373,90,36,29,141,*       14,104
"$10,000 under $25,000","1,508","2,514",684,"25,881","1,132","18,487",593,"1,032","1,020",954,186,368,187,**,244
"$25,000 under $50,000","1,871","4,078","1,365","68,619","1,607","53,419",953,"1,596","1,652","4,516",646,"1,306",306,17,838
"$50,000 or more      ","4,365","13,122","5,051","496,056","4,069","384,593","3,394","10,471","4,320","76,987","3,374","12,630",800,48,"3,750"
,,,,,,,,,,,,,,,
98609,41,79,19,"2,011",34,"1,804",22,9,34,257,12,21,**,--,16
"Under $10,000        ",*       14,*       22,*        4,*        153,**,**,*       11,*        3,**,**,--,--,**,--,**
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
"$25,000 under $50,000",10,17,4,409,*       18,*        510,**,**,*       18,*         42,**,**,**,--,**
"$50,000 or more      ",17,40,11,"1,449",16,"1,294",11,6,16,215,*       12,*       21,**,--,*       16
,,,,,,,,,,,,,,,
98610,"1,077","2,250",753,"34,823",930,"28,548",467,"1,063",770,"2,961",207,401,141,13,297
"Under $10,000        ",239,258,66,44,204,"1,688",66,319,57,11,**,**,25,**,10
"$10,000 under $25,000",281,511,156,"4,699",216,"3,177",99,134,184,156,*       24,*       34,25,**,34
"$25,000 under $50,000",300,709,242,"10,852",267,"8,589",125,266,273,684,57,91,47,*       13,94
"$50,000 or more      ",257,772,289,"19,228",243,"15,094",177,344,256,"2,110",126,276,44,**,159
,,,,,,,,,,,,,,,
98611,"3,700","7,866","2,432","149,320","3,076","113,795","2,346","4,304","2,844","15,455",865,"2,118",469,102,"1,109"
"Under $10,000        ",659,662,132,"2,094",501,"2,959",283,294,185,27,18,18,74,**,44
"$10,000 under $25,000",870,"1,502",383,"14,883",637,"9,575",455,844,595,487,75,141,89,*       25,106
"$25,000 under $50,000","1,006","2,398",814,"37,527",862,"28,781",616,889,907,"2,477",233,427,123,22,309
"$50,000 or more      ","1,165","3,304","1,103","94,816","1,076","72,480",992,"2,277","1,157","12,464",539,"1,532",183,55,650
,,,,,,,,,,,,,,,
98612,"1,064","2,156",561,"45,215",751,"26,965",655,"2,303",793,"5,304",257,565,208,43,331
"Under $10,000        ",200,233,40,705,120,650,83,149,41,8,**,**,37,**,12
"$10,000 under $25,000",235,410,82,"3,957",142,"2,080",128,355,148,122,*       32,*       54,37,*       25,35
"$25,000 under $50,000",290,631,179,"10,635",212,"6,932",178,557,268,743,71,149,58,**,93
"$50,000 or more      ",339,882,260,"29,918",277,"17,303",266,"1,242",336,"4,431",154,362,76,18,191
,,,,,,,,,,,,,,,
98613,161,344,102,"6,478",124,"3,642",99,664,105,759,18,330,32,43,27
"Under $10,000        ",47,48,4,31,28,113,27,24,**,**,--,--,**,*       15,*       11
"$10,000 under $25,000",37,75,21,609,29,369,18,32,*       28,*         21,**,**,*       19,**,**
"$25,000 under $50,000",32,74,18,"1,225",28,"1,045",15,25,32,82,**,**,**,11,**
"$50,000 or more      ",45,147,59,"4,613",39,"2,115",39,583,45,656,*       18,*      330,13,17,16
,,,,,,,,,,,,,,,
98614,272,493,131,"9,075",196,"4,573",142,450,185,"1,170",46,96,73,**,70
"Under $10,000        ",80,100,30,151,59,346,27,37,15,2,--,--,17,**,**
"$10,000 under $25,000",74,118,22,"1,248",51,772,37,66,56,61,**,**,20,**,*       18
"$25,000 under $50,000",67,150,44,"2,396",50,"1,509",39,126,63,158,*       20,*       36,18,**,21
"$50,000 or more      ",51,125,35,"5,280",36,"1,946",39,221,51,949,26,60,18,**,31
,,,,,,,,,,,,,,,
98616,78,159,44,"4,108",55,"2,093",40,437,55,638,17,22,12,**,22
"Under $10,000        ",13,20,5,-61,**,**,*       16,*       37,--,--,--,--,*       12,--,**
"$10,000 under $25,000",21,33,7,377,*       20,*        238,**,**,14,15,**,**,**,--,**
"$25,000 under $50,000",24,52,17,867,21,691,10,21,21,62,**,**,**,--,**
"$50,000 or more      ",20,54,15,"2,925",14,"1,164",14,379,20,561,*       17,*       22,**,**,*       22
,,,,,,,,,,,,,,,
98617,392,815,249,"13,886",317,"9,316",185,303,276,"1,316",105,209,41,17,128
"Under $10,000        ",85,100,31,374,63,307,21,29,16,3,**,**,*       15,**,**
"$10,000 under $25,000",101,197,58,"1,717",77,"1,105",42,51,64,51,*       22,*       33,**,--,*       27
"$25,000 under $50,000",103,256,83,"3,757",84,"2,664",55,50,93,239,26,44,12,*       17,32
"$50,000 or more      ",103,262,77,"8,038",93,"5,240",67,173,103,"1,023",57,132,14,**,69
,,,,,,,,,,,,,,,
98619,211,398,101,"6,329",181,"5,008",105,283,148,580,21,51,25,23,35
"Under $10,000        ",59,68,9,14,46,249,23,43,14,3,*       10,*       19,*       12,*       12,**
"$10,000 under $25,000",46,77,18,767,32,484,23,67,30,26,**,**,**,**,**
"$25,000 under $50,000",56,108,23,"2,117",54,"1,684",29,47,54,166,**,**,*       13,*       11,*       19
"$50,000 or more      ",50,145,51,"3,431",49,"2,591",30,126,50,385,11,32,**,**,16
,,,,,,,,,,,,,,,
98620,"2,554","5,397","1,641","86,697","2,030","60,790","1,292","3,278","1,781","8,410",466,"1,677",411,210,632
"Under $10,000        ",581,736,189,-338,420,"2,242",202,328,119,22,22,32,95,40,47
"$10,000 under $25,000",665,"1,276",369,"11,271",488,"6,922",274,522,422,342,73,133,86,35,101
"$25,000 under $50,000",682,"1,649",529,"24,574",563,"17,239",353,721,616,"1,569",118,332,114,62,178
"$50,000 or more      ",626,"1,736",554,"51,190",559,"34,387",463,"1,707",624,"6,477",253,"1,180",116,73,306
,,,,,,,,,,,,,,,
98621,85,172,43,"2,526",61,"1,527",47,139,58,221,15,36,20,**,21
"Under $10,000        ",20,31,5,-8,10,28,**,**,**,**,--,--,**,**,**
"$10,000 under $25,000",26,48,14,453,19,223,*       21,*       78,*       20,*         16,**,**,**,**,**
"$25,000 under $50,000",26,57,13,946,20,607,15,32,25,68,*       15,*       36,*       20,--,*       21
"$50,000 or more      ",13,36,11,"1,135",12,669,11,29,13,137,**,**,**,**,**
,,,,,,,,,,,,,,,
98622,125,257,82,"5,794",105,"4,481",83,177,97,711,37,73,17,**,47
"Under $10,000        ",24,20,2,103,16,74,*       21,*       19,**,**,--,--,**,--,--
"$10,000 under $25,000",24,38,8,406,19,330,**,**,*       25,*         19,**,**,**,**,**
"$25,000 under $50,000",30,65,20,"1,127",27,889,19,52,27,86,**,**,*       17,**,**
"$50,000 or more      ",47,134,52,"4,158",43,"3,188",43,106,45,606,*       37,*       73,**,**,*       47
,,,,,,,,,,,,,,,
98623,159,380,148,"4,954",135,"3,814",74,186,95,392,29,84,23,11,35
"Under $10,000        ",28,46,18,84,17,90,12,16,**,**,**,**,*       10,**,**
"$10,000 under $25,000",55,146,78,928,52,819,11,12,*       29,*         23,*       13,*       41,**,--,**
"$25,000 under $50,000",40,99,31,"1,375",33,"1,017",24,108,30,79,**,**,*       13,*       11,*       16
"$50,000 or more      ",36,89,21,"2,567",33,"1,888",27,50,36,290,16,43,**,**,19
,,,,,,,,,,,,,,,
98624,614,"1,118",274,"19,890",478,"12,831",310,"1,039",419,"2,134",102,166,136,14,143
"Under $10,000        ",156,169,30,202,112,647,60,91,35,5,*       15,*       29,28,**,11
"$10,000 under $25,000",179,305,67,"3,024",139,"2,158",64,126,123,110,**,**,30,**,15
"$25,000 under $50,000",163,350,96,"5,785",131,"3,945",90,270,145,402,37,47,36,*       14,53
"$50,000 or more      ",116,294,81,"10,879",96,"6,081",96,552,116,"1,617",50,90,42,**,64
,,,,,,,,,,,,,,,
98625,"2,266","4,856","1,480","108,290","1,921","78,911","1,371","2,391","1,789","12,860",711,"1,624",321,37,885
"Under $10,000        ",374,369,77,"1,399",292,"1,385",137,100,95,17,**,**,42,**,21
"$10,000 under $25,000",443,803,223,"7,714",328,"5,217",203,339,305,243,*       57,*       96,48,*       15,68
"$25,000 under $50,000",605,"1,338",403,"22,275",515,"16,995",345,585,550,"1,512",166,272,89,**,225
"$50,000 or more      ",844,"2,346",777,"76,902",786,"55,314",686,"1,367",839,"11,088",488,"1,256",142,22,571
,,,,,,,,,,,,,,,
98626,"9,007","19,193","6,571","334,047","7,710","261,409","4,655","7,725","6,549","32,823","1,865","4,552",935,74,"2,469"
"Under $10,000        ","1,789","2,073",603,"6,983","1,447","7,479",517,492,430,120,25,23,167,11,76
"$10,000 under $25,000","2,451","4,402","1,359","41,181","1,926","29,438",987,"1,656","1,602","1,332",136,218,185,12,216
"$25,000 under $50,000","2,364","5,656","2,022","87,091","2,097","69,704","1,274","1,716","2,129","5,750",493,870,255,16,701
"$50,000 or more      ","2,403","7,062","2,587","198,792","2,240","154,788","1,877","3,861","2,388","25,621","1,211","3,441",328,35,"1,476"
,,,,,,,,,,,,,,,
98628,192,419,150,"5,523",157,"4,240",79,131,122,471,14,15,33,**,27
"Under $10,000        ",56,63,18,194,39,160,17,16,11,1,--,--,*       19,**,**
"$10,000 under $25,000",53,128,50,924,38,456,18,47,33,27,**,**,**,--,**
"$25,000 under $50,000",50,134,50,"1,887",47,"1,590",21,27,45,124,*       14,*       15,*       14,**,*       17
"$50,000 or more      ",33,94,32,"2,518",33,"2,034",23,41,33,319,**,**,**,**,10
,,,,,,,,,,,,,,,
98629,"2,891","6,575","2,272","137,523","2,490","111,695","1,610","2,708","2,235","14,505","1,230","2,507",480,164,"1,482"
"Under $10,000        ",479,416,71,"-1,002",369,"2,043",156,315,128,33,19,14,50,20,41
"$10,000 under $25,000",551,983,278,"9,425",417,"6,705",201,337,352,309,75,121,76,25,105
"$25,000 under $50,000",683,"1,570",533,"25,325",612,"20,600",350,514,601,"1,564",255,431,134,26,343
"$50,000 or more      ","1,178","3,606","1,390","103,775","1,092","82,347",903,"1,542","1,154","12,599",881,"1,941",220,93,993
,,,,,,,,,,,,,,,
98631,"1,369","2,480",582,"48,236",971,"25,545",740,"2,720",940,"5,937",273,732,237,33,389
"Under $10,000        ",332,396,85,878,231,"1,193",125,230,72,16,11,8,53,**,33
"$10,000 under $25,000",453,771,185,"7,613",327,"4,834",192,415,310,256,52,71,53,*       16,74
"$25,000 under $50,000",317,673,156,"11,313",215,"6,407",202,506,292,770,87,171,63,**,121
"$50,000 or more      ",267,640,156,"28,432",198,"13,111",221,"1,569",266,"4,895",123,482,68,17,161
,,,,,,,,,,,,,,,
98632,"19,247","38,945","12,290","759,201","15,853","573,201","10,954","23,133","14,369","85,348","4,655","13,123","2,063",113,"5,700"
"Under $10,000        ","3,794","4,132","1,085","6,344","2,981","15,798","1,315","1,782","1,000",201,79,78,314,12,163
"$10,000 under $25,000","5,003","8,738","2,584","84,743","3,742","57,652","2,164","4,143","3,384","2,950",387,790,374,17,533
"$25,000 under $50,000","4,836","10,606","3,469","176,375","4,095","133,787","2,806","4,814","4,406","12,351","1,103","2,068",512,37,"1,474"
"$50,000 or more      ","5,614","15,469","5,152","491,739","5,035","365,964","4,669","12,394","5,579","69,846","3,086","10,187",863,47,"3,530"
,,,,,,,,,,,,,,,
98635,659,"1,382",416,"23,104",534,"17,041",333,789,450,"2,449",139,300,127,48,183
"Under $10,000        ",141,188,56,124,103,468,54,54,23,3,**,**,23,12,13
"$10,000 under $25,000",178,351,99,"3,033",137,"2,022",75,126,114,92,*       23,*       42,34,10,22
"$25,000 under $50,000",177,416,139,"6,339",152,"4,729",86,301,151,402,40,38,41,15,54
"$50,000 or more      ",163,427,122,"13,608",142,"9,822",118,308,162,"1,952",76,220,29,11,94
,,,,,,,,,,,,,,,
98637,64,108,16,"1,661",39,939,38,69,43,132,**,**,17,**,12
"Under $10,000        ",18,21,1,88,**,**,**,**,**,**,--,--,**,**,--
"$10,000 under $25,000",21,32,5,369,*       22,*        260,*       20,*       18,*       20,*         13,**,**,*       17,--,*       12
"$25,000 under $50,000",*       25,*       55,*       10,"*      1,204",*       17,*        679,*       18,*       51,*       23,*        119,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,--,**
,,,,,,,,,,,,,,,
98638,600,"1,173",326,"20,221",475,"14,585",334,729,433,"1,808",118,307,125,27,158
"Under $10,000        ",154,150,23,508,110,501,50,98,32,8,**,**,27,*       15,**
"$10,000 under $25,000",123,212,54,"2,098",83,"1,254",63,123,89,70,*       15,*       38,21,**,*       25
"$25,000 under $50,000",170,392,121,"6,400",147,"5,037",101,134,160,453,37,63,38,**,50
"$50,000 or more      ",153,419,128,"11,215",135,"7,793",120,374,152,"1,277",66,206,39,12,83
,,,,,,,,,,,,,,,
98639,309,613,189,"10,388",262,"8,045",147,304,225,942,61,102,40,--,84
"Under $10,000        ",67,57,17,220,57,270,11,8,18,3,--,--,**,--,**
"$10,000 under $25,000",84,150,41,"1,371",67,"1,043",35,80,53,44,12,10,*       17,--,*       18
"$25,000 under $50,000",78,170,47,"2,853",66,"2,208",40,113,74,207,16,15,11,--,21
"$50,000 or more      ",80,236,84,"5,944",72,"4,524",61,103,80,688,33,77,12,--,45
,,,,,,,,,,,,,,,
98640,"1,606","2,975",582,"51,291",986,"23,341",947,"2,998","1,120","4,915",344,956,209,**,462
"Under $10,000        ",345,478,100,"1,540",230,"1,333",134,174,60,10,16,18,55,**,39
"$10,000 under $25,000",544,968,193,"9,165",316,"4,335",287,657,378,278,67,110,56,**,97
"$25,000 under $50,000",418,862,171,"15,014",258,"7,219",273,645,387,"1,015",121,216,45,--,155
"$50,000 or more      ",299,667,118,"25,572",182,"10,454",253,"1,522",295,"3,612",140,612,53,**,171
,,,,,,,,,,,,,,,
98641,94,151,11,"3,973",47,"1,479",74,242,70,477,29,77,19,**,34
"Under $10,000        ",17,19,2,11,**,**,12,9,**,**,**,**,**,**,**
"$10,000 under $25,000",24,37,4,419,*       15,*        259,15,38,*       18,*         15,*       12,*       21,**,--,*       16
"$25,000 under $50,000",24,42,3,804,14,373,18,25,23,54,**,**,*       19,**,**
"$50,000 or more      ",29,53,2,"2,739",18,847,29,170,29,408,17,56,**,**,18
,,,,,,,,,,,,,,,
98642,"5,295","11,222","3,564","321,735","4,245","211,514","3,400","20,026","4,097","47,117","2,167","6,896",839,223,"2,504"
"Under $10,000        ",968,852,165,"-1,654",685,"4,257",429,719,256,75,37,51,114,33,92
"$10,000 under $25,000","1,021","1,632",402,"17,283",724,"11,179",484,"1,068",699,643,144,288,124,21,192
"$25,000 under $50,000","1,136","2,464",771,"41,996",926,"31,150",673,"1,233","1,000","2,805",371,758,196,42,458
"$50,000 or more      ","2,170","6,274","2,226","264,110","1,910","164,928","1,814","17,006","2,142","43,594","1,615","5,799",405,127,"1,762"
,,,,,,,,,,,,,,,
98643,158,322,90,"5,608",114,"3,760",94,291,113,548,23,61,28,15,43
"Under $10,000        ",36,38,7,72,24,159,16,43,**,**,--,--,*       16,**,*       11
"$10,000 under $25,000",38,71,17,659,25,352,20,31,*       34,*         20,**,**,**,*       15,**
"$25,000 under $50,000",42,93,26,"1,502",29,917,26,108,37,101,**,**,*       12,**,12
"$50,000 or more      ",42,120,40,"3,375",36,"2,332",32,109,42,427,*       23,*       61,**,**,20
,,,,,,,,,,,,,,,
98644,358,661,169,"10,494",273,"6,706",201,758,246,"1,051",50,149,64,**,82
"Under $10,000        ",92,113,32,-163,75,402,33,25,19,3,--,--,12,--,**
"$10,000 under $25,000",103,181,48,"1,721",71,"1,104",51,189,71,57,**,**,19,--,*       18
"$25,000 under $50,000",93,193,47,"3,269",71,"2,193",55,124,86,226,*       27,*       37,18,--,26
"$50,000 or more      ",70,174,42,"5,667",56,"3,007",62,420,70,765,23,112,15,**,38
,,,,,,,,,,,,,,,
98645,423,935,283,"21,258",349,"13,535",259,812,322,"2,546",122,243,62,11,153
"Under $10,000        ",70,80,19,166,54,238,32,60,19,3,**,**,**,**,**
"$10,000 under $25,000",90,168,46,"1,522",68,"1,039",43,69,53,40,*       15,*       22,*       21,*       11,*       21
"$25,000 under $50,000",111,272,89,"4,064",91,"3,038",65,105,100,267,25,39,16,**,41
"$50,000 or more      ",152,415,129,"15,506",136,"9,220",119,578,150,"2,236",82,182,25,**,91
,,,,,,,,,,,,,,,
98647,153,340,108,"4,863",119,"3,432",60,72,101,438,19,37,36,11,36
"Under $10,000        ",35,47,11,89,21,90,10,18,**,**,**,**,*       18,--,**
"$10,000 under $25,000",44,99,39,759,34,463,11,3,*       28,*         22,**,**,**,*       11,**
"$25,000 under $50,000",47,121,37,"1,784",42,"1,373",21,14,46,113,*       19,*       37,*       18,**,*       23
"$50,000 or more      ",27,73,21,"2,231",22,"1,506",18,37,27,303,**,**,**,**,13
,,,,,,,,,,,,,,,
98648,"1,250","2,436",721,"41,271","1,043","35,935",659,"1,228",914,"4,722",304,725,179,18,414
"Under $10,000        ",269,262,57,"-4,100",209,"1,434",93,217,68,12,**,**,37,**,16
