zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
98625,"$200,000 or more",44,39,32,115,32,15982,42,9195,37,116,20,225,20,207,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,43,1375,**,**,29,162,42,164,43,534,35,640,40,92,44,14226,**,**,**,**,0,0,**,**,0,0,0,0,0,0,**,**,44,3806,44,3870,23,403,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98626,,"9,755","4,375","4,355","21,300","7,055","428,471","8,147","322,956","3,914","7,400","1,200","2,589",998,"1,694",969,"9,723",67,895,"3,324",773,"10,666","1,933","36,870","1,415","11,996","1,246","13,257",26,253,"2,689","52,861",359,"1,446","1,820","2,858","2,490","6,853","2,658","11,975","2,344","24,246","1,857","5,788","7,285","254,122","3,191","3,770",375,316,"2,003","2,478",371,151,"1,563","2,067","2,144","4,415","1,924","4,066",65,189,"6,317","35,702","6,727","37,665","1,248","2,766","8,078","22,180"
98626,"$1 under $25,000",4132,756,1619,6981,2195,51974,3239,38043,979,1218,278,448,217,258,355,1350,**,194,-19,201,1191,606,5958,534,3885,190,352,**,**,302,4437,**,**,208,204,250,531,288,788,212,1618,164,332,1780,10093,509,172,**,**,227,80,40,11,965,1077,1578,3498,1466,3272,0,0,1414,900,1712,1290,276,135,3558,7708
98626,"$25,000 under $50,000",2426,1061,1090,5517,1875,87865,2059,67387,887,1036,231,343,197,193,215,1524,45,161,-96,212,2167,485,8719,447,4165,450,2729,**,**,592,9582,74,114,420,449,522,1181,583,1820,501,4488,344,700,2318,42049,1074,966,114,73,707,665,82,37,491,776,566,917,458,794,**,**,1834,4158,1922,4548,310,324,2076,5891
98626,"$50,000 under $75,000",1484,1033,714,3920,1374,91258,1281,70340,810,1331,258,523,218,360,170,923,**,203,469,167,2563,394,8661,280,2640,301,4439,26,253,704,12565,105,282,472,654,662,1657,698,2735,625,5922,477,1131,1477,55907,733,1141,111,92,530,857,98,39,107,214,0,0,0,0,**,**,1370,6480,1393,6778,241,404,1211,3709
98626,"$75,000 under $100,000",905,789,454,2556,847,77755,822,61895,605,887,181,392,152,237,101,1069,**,122,527,94,1915,238,6965,90,693,171,2946,**,**,517,10706,94,372,346,600,500,1429,517,2578,480,5375,391,1040,904,53254,473,856,77,70,342,579,79,34,**,**,0,0,0,0,33,61,894,6716,895,6982,171,343,714,2398
98626,"$100,000 under $200,000",723,665,413,2089,683,90315,672,70716,557,1731,206,453,173,288,128,4857,22,169,1150,99,2830,210,6567,64,613,134,2791,**,**,505,12148,86,678,339,765,489,1667,503,3116,466,5749,417,1527,721,67886,364,602,73,81,197,297,72,30,**,**,0,0,0,0,**,**,720,11065,720,11468,214,931,490,2145
98626,"$200,000 or more",85,71,65,237,81,29304,74,14575,76,1197,46,430,41,358,**,**,**,46,1293,**,**,**,**,**,**,**,**,**,**,69,3423,**,**,35,186,67,388,69,938,60,1094,64,1058,85,24933,38,33,**,**,**,**,**,**,0,0,0,0,0,0,32,128,85,6383,85,6599,36,629,29,329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98628,,173,80,80,365,119,"6,162",137,"4,596",65,192,25,54,0,0,29,252,0,0,0,0,0,40,609,25,101,0,0,0,0,23,522,0,0,0,0,21,32,22,68,0,0,0,0,114,"3,432",49,42,0,0,27,34,0,0,26,37,40,111,36,86,0,0,103,430,117,480,21,18,146,331
98628,"$1 under $25,000",88,39,50,158,55,1101,62,698,37,148,25,54,0,0,29,252,0,0,0,0,0,**,**,25,101,0,0,0,0,23,522,0,0,0,0,21,32,22,68,0,0,0,0,30,209,22,13,0,0,**,**,0,0,26,37,40,111,36,86,0,0,26,21,37,40,21,18,78,150
98628,"$25,000 under $50,000",33,**,**,75,25,1207,28,829,**,**,**,**,0,0,**,**,0,0,0,0,0,40,609,**,**,0,0,0,0,**,**,0,0,0,0,**,**,**,**,0,0,0,0,32,622,**,**,0,0,27,34,0,0,**,**,**,**,**,**,0,0,27,64,29,74,**,**,30,75
98628,"$50,000 under $75,000",52,41,30,132,39,3854,47,3069,28,44,**,**,0,0,**,**,0,0,0,0,0,**,**,**,**,0,0,0,0,**,**,0,0,0,0,**,**,**,**,0,0,0,0,52,2601,27,29,0,0,**,**,0,0,**,**,0,0,0,0,0,0,50,345,51,366,**,**,38,106
98628,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,**,**,**,**,0,0,0,0,**,**,0,0,0,0,**,**,**,**,0,0,0,0,**,**,**,**,0,0,**,**,0,0,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
98628,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,**,**,**,**,0,0,0,0,**,**,0,0,0,0,**,**,**,**,0,0,0,0,**,**,**,**,0,0,**,**,0,0,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**
98628,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98629,,"3,458","1,968","1,639","8,008","2,690","216,109","2,906","166,618","1,702","3,258",760,"2,587",647,"1,896",532,"4,822",177,523,"3,461",264,"4,007",740,"17,126",441,"3,823",444,"5,148",0,0,"1,668","40,488",442,"2,186",850,"1,423","1,590","5,549","1,661","10,450","1,514","20,281","1,347","3,767","2,841","136,499","1,256","1,735",136,144,781,"1,193",144,62,348,564,376,706,322,596,64,278,"2,577","21,355","2,717","22,601",591,"1,701","2,690","8,289"
98629,"$1 under $25,000",1036,214,395,1494,373,12936,760,9067,325,436,153,249,122,142,117,580,24,80,-104,60,353,188,1903,119,1022,56,90,0,0,143,2647,**,**,94,68,121,361,141,472,103,1029,102,239,474,2941,109,33,**,**,30,11,**,**,152,176,241,495,217,426,0,0,395,289,480,422,98,52,826,1425
98629,"$25,000 under $50,000",720,329,341,1579,524,26800,591,20290,294,651,122,311,106,190,115,790,39,85,-39,63,531,173,3314,121,1153,133,822,0,0,256,5445,54,97,147,143,234,859,253,1152,217,2444,179,332,673,12441,272,246,24,18,158,166,32,13,126,215,135,211,105,170,0,0,561,1262,598,1477,99,106,605,1676
98629,"$50,000 under $75,000",623,456,315,1724,634,38840,557,31410,348,443,144,254,121,125,111,663,31,108,55,56,733,134,3399,101,815,106,1503,0,0,391,8321,98,298,196,276,377,1150,390,1926,364,4265,299,722,615,21710,318,473,35,30,232,375,30,13,70,173,0,0,0,0,**,**,563,2439,577,2638,108,161,501,1743
98629,"$75,000 under $100,000",490,430,251,1480,558,42530,445,34360,305,252,121,251,100,155,86,981,36,87,451,41,679,106,3523,63,513,76,1366,0,0,366,8603,124,485,182,327,356,1130,365,2132,351,4729,311,757,490,27015,269,528,27,26,206,415,38,15,**,**,0,0,0,0,**,**,469,3255,473,3504,92,226,391,1455
98629,"$100,000 under $200,000",504,463,269,1479,510,64473,474,52747,358,725,166,420,150,276,103,1808,47,116,611,44,1711,139,4987,37,320,73,1367,0,0,436,12110,144,881,196,462,427,1609,436,3445,414,6533,385,1209,504,46140,256,370,50,70,155,226,44,21,0,0,0,0,0,0,**,**,504,7498,504,7849,158,691,332,1463
98629,"$200,000 or more",85,76,68,252,91,30530,79,18744,72,751,54,1102,48,1008,**,**,**,47,2487,**,**,**,**,**,**,**,**,0,0,76,3362,22,425,35,147,75,440,76,1323,65,1281,71,508,85,26252,32,85,**,**,0,0,**,**,0,0,0,0,0,0,64,278,85,6612,85,6711,36,465,35,527
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98631,,"1,539",656,782,"2,768",619,"62,915","1,116","36,640",754,"2,406",301,"1,174",260,868,250,"2,348",35,224,466,161,"2,076",443,"10,041",158,"1,166",315,"3,362",0,0,411,"8,585",48,279,256,455,384,"1,198",406,"2,144",337,"3,501",289,952,"1,094","37,567",353,456,59,47,167,200,29,11,145,144,272,470,225,404,0,0,982,"5,621","1,069","6,112",278,806,"1,128","2,664"
98631,"$1 under $25,000",766,174,322,1106,227,9584,534,5807,271,470,100,174,85,106,107,571,**,68,-996,57,411,156,1724,99,704,48,79,0,0,95,1525,**,**,60,42,87,177,94,243,68,496,50,94,335,1893,64,22,24,17,24,7,**,**,91,87,221,398,187,344,0,0,282,178,352,291,79,49,598,1012
98631,"$25,000 under $50,000",367,171,192,704,154,13338,283,8901,184,341,65,172,52,137,50,290,**,46,36,41,374,111,2343,30,213,110,651,0,0,96,1552,28,82,64,101,87,210,95,360,80,648,64,102,355,6779,118,95,**,**,64,60,29,11,54,57,51,72,38,60,0,0,308,732,321,836,67,81,288,729
98631,"$50,000 under $75,000",188,130,113,429,109,11711,129,6373,124,293,46,161,41,110,34,287,35,32,160,30,372,85,2610,29,249,77,1108,0,0,93,1707,**,**,54,75,89,253,93,410,78,757,71,148,187,7374,78,113,35,30,42,76,**,**,**,**,0,0,0,0,0,0,177,885,180,940,53,114,121,346
98631,"$75,000 under $100,000",110,88,75,266,67,9330,88,5783,74,343,45,295,42,244,30,352,**,32,8,33,919,44,1406,**,**,34,577,0,0,58,1358,**,**,41,60,55,186,56,300,54,589,46,127,109,6409,49,68,**,**,37,57,**,**,**,**,0,0,0,0,0,0,107,844,108,927,32,107,73,305
98631,"$100,000 under $200,000",88,93,80,212,62,11461,82,9776,81,723,45,372,40,271,29,848,**,46,1258,**,**,47,1958,**,**,46,947,0,0,69,2443,20,197,37,177,66,372,68,831,57,1011,58,481,88,8750,44,158,**,**,**,**,**,**,0,0,0,0,0,0,0,0,88,1446,88,1524,47,455,48,272
98631,"$200,000 or more",20,**,**,51,**,7491,**,**,20,236,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,20,6362,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,20,1536,20,1594,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98632,,"20,197","8,759","9,168","42,171","13,029","930,631","16,123","651,567","9,274","21,120","3,426","15,309","2,914","11,534","2,059","22,175",103,"2,466","9,688","2,018","31,465","4,743","92,479","2,471","20,780","3,245","35,402",65,"1,149","5,649","112,044",602,"2,579","3,942","6,588","5,248","13,676","5,606","25,362","4,733","47,759","4,217","14,666","15,207","574,653","6,300","7,562",774,655,"3,595","4,542",730,328,"2,957","3,853","4,045","8,425","3,648","7,753",150,625,"13,435","84,956","14,204","89,773","2,866","8,000","16,242","44,358"
98632,"$1 under $25,000",8451,1521,3447,13862,4095,106642,6307,73265,2421,3610,882,1636,744,849,703,4079,**,635,-773,548,3434,1549,15122,924,6353,504,938,21,198,627,10303,33,34,438,500,528,1117,613,1738,387,2921,409,838,3707,21641,991,326,35,14,392,143,64,19,1856,2134,2986,6621,2770,6174,**,**,3021,1970,3594,2807,666,340,7103,14769
98632,"$25,000 under $50,000",5005,2039,2302,10699,3378,180380,4012,129321,2189,4057,714,1638,604,943,475,3267,42,518,-174,533,5630,1245,21774,801,7806,1186,7583,**,**,1281,20228,84,150,906,1090,1142,2348,1262,3847,1023,8580,815,1943,4775,88681,2032,1739,164,132,1276,1207,189,83,923,1400,1059,1804,878,1579,**,**,3891,9063,4043,9889,661,762,4226,11774
98632,"$50,000 under $75,000",3047,2008,1423,7445,2309,187708,2549,137111,1827,3285,644,1592,545,984,343,3123,38,419,162,411,6591,887,21121,424,3718,739,10590,**,**,1352,23928,153,539,945,1308,1266,2862,1343,5448,1166,10999,972,2626,3037,118380,1418,2134,226,180,943,1534,167,67,150,231,0,0,0,0,**,**,2873,14292,2907,15062,554,1029,2397,7283
98632,"$75,000 under $100,000",1842,1540,887,5009,1601,158655,1596,119988,1329,2513,467,1263,389,754,229,2342,**,335,1274,266,6005,523,14837,213,2020,418,7930,**,**,1028,21112,139,527,721,1269,979,2488,1027,4681,923,9838,825,2665,1836,109742,914,1652,148,128,616,1079,153,76,28,88,0,0,0,0,**,**,1805,14126,1815,14653,383,870,1400,5049
98632,"$100,000 under $200,000",1597,1437,894,4469,1430,203795,1440,151114,1271,3368,548,2229,473,1702,250,5691,23,414,2776,233,7684,473,15861,109,883,327,6787,44,951,1136,26684,169,986,781,1886,1115,3537,1136,7003,1053,12495,982,4099,1597,155067,823,1300,172,160,368,579,157,83,**,**,0,0,0,0,52,98,1590,25683,1590,26724,493,2072,1012,4176
98632,"$200,000 or more",255,214,215,687,216,93451,219,40768,237,4287,171,6951,159,6302,59,3673,**,145,6423,27,2121,66,3764,**,**,71,1574,**,**,225,9789,24,343,151,535,218,1324,225,2645,181,2926,214,2495,255,81142,122,411,29,41,0,0,**,**,0,0,0,0,0,0,98,527,255,19822,255,20638,109,2927,104,1307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98635,,694,401,372,"1,414",329,"38,800",514,"20,368",343,"1,637",166,668,140,422,132,"1,270",50,127,416,67,764,199,"4,731",93,639,125,"1,226",0,0,195,"4,360",61,488,81,200,177,405,194,"1,213",150,"1,500",144,597,526,"25,983",180,333,31,38,88,116,0,0,71,95,114,256,94,224,0,0,475,"4,889",524,"5,184",142,577,502,"1,291"
98635,"$1 under $25,000",271,92,131,461,111,3402,174,2043,104,154,46,94,39,64,55,284,24,37,-44,41,334,58,517,33,201,**,**,0,0,26,468,**,**,27,30,22,43,25,61,**,**,**,**,115,618,21,8,**,**,**,**,0,0,44,57,87,202,71,176,0,0,99,56,136,117,39,30,197,393
98635,"$25,000 under $50,000",169,95,93,351,86,6076,133,4127,71,223,29,166,26,98,24,67,**,23,-34,**,**,51,889,30,231,63,277,0,0,35,615,30,97,**,**,26,55,35,134,36,281,39,81,158,2907,54,38,**,**,36,26,0,0,27,38,27,54,23,48,0,0,131,305,139,343,22,22,144,366
98635,"$50,000 under $75,000",126,98,67,293,67,7751,100,5037,80,271,37,136,28,55,27,290,26,23,89,26,430,66,1989,30,207,35,446,0,0,51,939,**,**,21,33,50,98,51,215,42,378,37,117,125,4877,53,83,31,38,29,50,0,0,**,**,0,0,0,0,0,0,118,557,122,613,33,44,87,251
98635,"$75,000 under $100,000",67,60,40,172,45,5840,57,4174,44,108,27,152,23,124,26,629,**,22,124,**,**,**,**,**,**,27,503,0,0,39,845,31,391,33,137,37,79,39,219,34,347,30,113,67,4029,31,55,**,**,23,40,0,0,**,**,0,0,0,0,0,0,66,496,66,553,22,65,44,185
98635,"$100,000 under $200,000",61,56,41,137,20,15731,50,4987,44,881,27,120,24,81,**,**,**,22,281,**,**,24,1336,**,**,**,**,0,0,44,1493,**,**,**,**,42,130,44,584,38,494,38,286,61,13552,21,149,**,**,**,**,0,0,0,0,0,0,0,0,0,0,61,3475,61,3558,26,416,30,96
98635,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98638,,674,330,373,"1,351",367,"29,005",522,"19,064",365,689,170,407,142,319,125,"1,143",36,81,509,63,580,186,"4,163",77,521,116,"1,323",0,0,171,"3,461",31,124,88,121,162,377,171,733,136,"1,397",116,446,499,"17,394",185,229,27,25,105,155,0,0,73,81,113,192,97,168,0,0,455,"2,276",493,"2,543",141,383,486,"1,222"
98638,"$1 under $25,000",281,70,136,418,94,3385,193,2256,99,245,56,68,48,28,43,98,**,23,-17,34,199,63,588,31,149,**,**,0,0,22,406,**,**,**,**,20,46,22,67,**,**,31,78,112,724,24,6,**,**,**,**,0,0,41,36,86,150,75,139,0,0,100,72,130,107,34,18,214,375
98638,"$25,000 under $50,000",161,72,88,328,92,6083,128,4264,87,149,32,43,25,22,36,365,36,33,21,**,**,44,894,21,169,50,245,0,0,32,514,**,**,49,57,30,55,32,90,35,309,**,**,155,3213,52,54,**,**,42,40,0,0,32,45,27,42,22,29,0,0,129,349,137,412,33,70,124,312
98638,"$50,000 under $75,000",110,77,70,263,76,6717,95,4388,79,122,34,58,26,50,21,244,**,**,**,29,381,40,1015,25,203,33,450,0,0,49,876,31,124,**,**,45,106,49,193,41,407,31,66,110,4210,45,64,27,25,24,42,0,0,**,**,0,0,0,0,0,0,104,516,104,582,26,67,81,212
98638,"$75,000 under $100,000",72,67,45,204,61,6148,63,4454,57,90,27,65,23,55,25,436,**,25,505,**,**,39,1666,**,**,33,628,0,0,40,919,**,**,39,64,39,91,40,179,34,376,31,162,72,4096,39,69,**,**,39,73,0,0,0,0,0,0,0,0,0,0,72,492,72,534,23,47,47,181
98638,"$100,000 under $200,000",50,44,34,138,44,6672,43,3702,43,83,21,173,20,164,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,28,746,**,**,**,**,28,79,28,204,26,305,23,140,50,5151,25,36,**,**,**,**,0,0,0,0,0,0,0,0,0,0,50,847,50,908,25,181,20,142
98638,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98640,,"1,800",848,876,"3,225",564,"67,306","1,090","30,070",934,"2,651",401,"1,322",327,793,234,"1,487",0,289,"1,625",228,"3,469",757,"17,556",162,"1,154",522,"5,110",0,0,495,"10,232",70,457,327,488,466,"1,531",487,"2,648",389,"3,599",358,879,"1,212","37,925",306,263,57,46,126,133,20,7,166,195,322,522,271,451,0,0,"1,114","5,513","1,203","5,915",315,946,"1,271","2,754"
98640,"$1 under $25,000",910,267,382,1423,257,11235,535,5790,364,747,136,209,102,108,109,413,0,96,-87,96,630,296,3049,95,490,89,126,0,0,131,2207,**,**,103,70,118,273,126,362,94,672,71,111,340,1952,45,16,**,**,**,**,20,7,114,130,259,413,217,369,0,0,305,190,385,293,85,47,661,1037
98640,"$25,000 under $50,000",456,253,232,907,181,16187,282,7900,241,533,97,178,76,99,57,570,0,69,-37,53,582,219,5052,33,291,206,1187,0,0,123,2179,37,81,79,91,115,321,120,458,102,724,83,124,439,7418,134,91,28,19,81,62,**,**,52,65,63,109,54,82,0,0,381,775,390,893,96,122,340,792
98640,"$50,000 under $75,000",228,148,135,454,73,13957,138,6456,153,405,72,361,63,188,26,120,0,45,156,40,818,123,3968,34,373,111,1518,0,0,102,1879,**,**,66,91,98,282,102,454,86,772,87,189,227,9012,62,69,29,27,45,71,**,**,**,**,0,0,0,0,0,0,223,1147,223,1185,67,114,147,397
98640,"$75,000 under $100,000",112,95,62,239,30,9581,68,3966,91,309,42,319,38,212,42,384,0,37,98,39,1439,65,2720,**,**,60,1137,0,0,65,1502,33,376,39,80,61,227,65,427,48,502,53,172,112,6630,36,38,**,**,**,**,**,**,0,0,0,0,0,0,0,0,111,884,111,920,27,72,79,234
98640,"$100,000 under $200,000",73,65,65,153,23,9443,67,5958,65,422,54,255,48,186,**,**,0,42,1495,**,**,54,2767,**,**,56,1142,0,0,74,2465,**,**,40,156,74,428,74,947,59,929,64,283,73,7072,29,49,**,**,**,**,**,**,0,0,0,0,0,0,0,0,73,1210,73,1260,40,591,44,294
98640,"$200,000 or more",21,20,**,49,**,6903,**,**,20,235,**,**,**,**,**,**,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,21,5841,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,21,1307,21,1364,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98642,,"6,762","3,656","3,549","14,743","4,603","482,288","5,385","330,236","3,611","16,186","1,878","8,134","1,629","6,088","1,140","15,748",188,"1,475","9,388",641,"12,372","1,530","37,889",678,"6,186","1,054","13,206",72,"1,077","3,215","84,085",847,"5,227","1,604","2,839","3,038","11,445","3,199","22,066","2,749","40,019","2,659","10,176","5,461","325,713","2,481","3,215",282,311,"1,297","1,783",277,133,627,830,782,"1,484",645,"1,206",170,552,"4,953","58,662","5,310","61,834","1,345","6,820","4,917","16,016"
98642,"$1 under $25,000",2117,412,920,2913,723,25069,1487,17068,723,1163,359,679,296,357,312,1730,28,269,133,142,750,381,3585,198,1542,116,209,**,**,281,5739,**,**,164,118,251,837,276,1073,179,2283,201,391,927,5265,249,88,**,**,63,26,**,**,294,344,521,1085,453,902,0,0,762,475,1014,860,248,125,1603,2810
98642,"$25,000 under $50,000",1361,581,720,2841,862,50420,1076,35646,607,1489,272,637,230,368,212,2028,29,214,238,139,1152,327,6356,193,2152,294,2082,28,221,492,10013,111,268,279,306,452,1390,488,2038,391,4482,360,974,1270,23569,582,518,51,32,341,329,68,35,236,337,261,399,192,304,0,0,1039,2348,1113,2829,232,300,1084,3214
98642,"$50,000 under $75,000",1017,663,528,2524,830,63121,824,44737,587,1546,302,836,264,537,191,1746,33,232,501,111,1460,272,7708,128,1140,238,3290,**,**,576,12614,154,695,283,393,539,1606,572,2988,506,6102,446,1118,998,37012,517,761,54,63,320,509,46,22,97,149,0,0,0,0,**,**,908,4329,931,4743,214,387,768,2586
98642,"$75,000 under $100,000",830,694,458,2213,685,71916,710,51528,556,1509,276,878,239,631,162,2503,33,200,429,111,2525,250,8097,76,709,196,3482,**,**,605,14516,179,754,303,506,579,1976,603,3593,541,7445,516,1630,829,46685,423,729,64,66,273,485,45,23,**,**,0,0,0,0,**,**,812,5935,818,6398,203,573,592,2315
98642,"$100,000 under $200,000",1138,1037,676,3372,1192,151750,1025,118366,864,2626,484,1656,429,1147,192,4366,65,386,1999,115,3577,253,9938,83,643,164,3201,21,320,982,28561,331,2110,432,984,950,3789,981,7908,904,14585,877,3533,1138,108934,598,914,113,150,300,434,118,53,**,**,0,0,0,0,35,82,1133,17928,1135,18844,321,1685,749,3596
98642,"$200,000 or more",299,269,247,880,311,120012,263,62891,274,7853,185,3448,171,3048,71,3375,**,174,6088,23,2908,47,2205,**,**,46,942,23,536,279,12642,72,1400,143,532,267,1847,279,4466,228,5122,259,2530,299,104248,112,205,**,**,**,**,**,**,0,0,0,0,0,0,135,470,299,27647,299,28160,127,3750,121,1495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98643,,168,95,93,329,72,"7,234",112,"4,416",96,363,43,154,34,107,26,148,0,31,98,21,197,56,"1,072",0,0,39,449,0,0,47,982,0,0,29,24,43,85,46,249,33,344,27,57,126,"4,192",45,42,0,0,20,28,0,0,0,0,25,46,22,37,0,0,114,571,124,622,30,103,121,338
98643,"$1 under $25,000",68,22,34,106,39,881,39,428,30,141,**,**,**,**,26,148,0,**,**,21,197,28,370,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,28,169,20,13,0,0,20,28,0,0,0,0,25,46,22,37,0,0,24,17,32,25,**,**,46,93
98643,"$25,000 under $50,000",44,30,25,91,**,1624,29,945,26,107,43,154,34,107,**,**,0,31,98,**,**,**,**,0,0,**,**,0,0,**,**,0,0,29,24,**,**,**,**,**,**,27,57,42,763,**,**,0,0,**,**,0,0,0,0,**,**,**,**,0,0,35,71,37,89,30,103,33,89
98643,"$50,000 under $75,000",30,20,34,68,33,1809,24,1184,20,44,**,**,**,**,**,**,0,**,**,**,**,28,702,0,0,39,449,0,0,47,982,0,0,**,**,43,85,46,249,33,344,**,**,30,1133,25,29,0,0,**,**,0,0,0,0,0,0,0,0,0,0,29,137,29,139,**,**,42,156
98643,"$75,000 under $100,000",26,23,**,64,**,2920,20,1859,20,71,**,**,**,**,**,**,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,26,2127,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,26,346,26,369,**,**,**,**
98643,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
98643,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
