adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$100,000 or more     ",22,60,19,3217,20,2061,21,12,10,10,10,183,*,*,0,0,0,0,*,*,20,2941,634,17,2542,72,20,2941,165,*,*,22,447,22,485,0,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98623,168,403,148,6983,144,4746,70,89,42,78,33,398,22,24,*,*,*,*,0,0,46,3545,894,35,2696,87,44,3202,185,*,*,126,610,104,591,36,78,84
"Under $10,000        ",27,43,13,28,18,83,*,*,10,21,*,*,11,28,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,*,*,*,*,11,17,15
"$10,000 under $25,000",45,111,53,739,39,579,17,18,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,22,13,25,61,12
"$25,000 under $50,000",47,119,46,1683,42,1337,21,10,21,29,19,55,*,*,*,*,*,*,0,0,16,642,197,20,924,53,15,604,40,0,0,46,103,34,95,*,*,22
"$50,000 under $75,000",22,56,14,1363,22,1190,10,21,*,*,*,*,11,-4,*,*,*,*,0,0,10,623,212,*,*,*,10,623,47,0,0,22,109,22,108,0,0,15
"$75,000 under $100,000",16,46,15,1398,23,1557,22,40,11,28,14,343,*,*,*,*,0,0,0,0,20,2280,485,15,1772,34,19,1975,98,0,0,16,150,15,140,0,0,20
"$100,000 or more     ",11,28,7,1772,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,11,234,11,235,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98624,605,1129,256,26584,466,14931,317,782,130,432,136,3488,126,1344,*,*,19,63,*,*,143,11767,2392,103,8601,217,147,11638,743,11,34,450,3073,451,3201,97,155,341
"Under $10,000        ",121,166,24,-130,81,474,48,83,17,21,17,-6,29,6,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,15,1,37,22,46,37,64
"$10,000 under $25,000",171,285,71,2952,135,2204,69,139,23,42,25,39,24,141,*,*,*,*,0,0,23,372,273,17,295,40,28,269,54,0,0,125,104,120,124,40,110,87
"$25,000 under $50,000",147,300,87,5448,117,3822,73,114,27,43,19,23,30,249,0,0,19,63,0,0,45,1674,629,31,1157,58,44,1648,175,0,0,144,403,128,406,11,8,76
"$50,000 under $75,000",78,162,25,4817,64,3192,54,97,27,89,24,121,20,149,*,*,*,*,0,0,29,1853,519,31,2164,53,29,1853,154,0,0,78,468,78,465,0,0,52
"$75,000 under $100,000",37,88,18,3154,35,2313,25,14,11,9,14,57,*,*,0,0,*,*,0,0,15,1322,257,*,*,*,15,1322,84,0,0,37,349,37,364,0,0,25
"$100,000 or more     ",51,128,31,10343,34,2926,48,335,25,228,37,3254,23,799,*,*,0,0,*,*,31,6546,714,24,4985,66,31,6546,276,11,34,51,1748,51,1820,0,0,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98625,2486,5455,1580,158566,2082,98735,1346,2652,481,1383,510,13622,370,4541,30,-169,64,210,15,148,1037,99682,20174,850,87805,2411,1028,98985,6266,46,190,2094,21428,1999,21306,250,437,1209
"Under $10,000        ",328,410,56,1151,256,1390,96,73,38,43,42,1,30,-100,0,0,0,0,0,0,13,78,227,*,*,*,17,-21,41,0,0,73,11,92,24,76,82,99
"$10,000 under $25,000",466,793,189,7990,355,5735,189,214,55,93,48,77,40,215,*,*,*,*,0,0,65,1154,986,54,846,67,62,1110,176,0,0,340,254,313,278,120,299,197
"$25,000 under $50,000",595,1275,394,22102,490,16567,264,425,83,224,80,287,85,814,*,*,15,34,*,*,222,8708,3119,166,6578,259,216,8495,618,0,0,585,1492,520,1430,54,56,293
"$50,000 under $75,000",463,1253,417,28636,412,22357,275,289,105,195,105,477,95,1069,19,-86,33,97,15,148,256,16048,4394,211,13259,393,254,15917,946,*,*,462,2522,442,2392,0,0,242
"$75,000 under $100,000",332,913,295,28441,301,22433,251,251,91,239,100,692,62,709,*,*,*,*,*,*,256,21962,4667,213,18305,523,255,21866,1236,*,*,332,3012,330,2920,0,0,182
"$100,000 or more     ",302,811,229,70246,268,30253,271,1400,109,589,135,12088,58,1834,11,-83,16,79,*,*,225,51732,6781,206,48817,1169,224,51618,3249,46,190,302,14137,302,14262,0,0,196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98626,9473,20792,6980,406155,8068,303500,4143,6293,1381,2704,1345,20542,1023,10212,63,-414,195,638,33,310,2698,197188,45108,2075,161962,6916,2686,195150,11184,79,221,7338,41277,6881,39938,1678,2988,4547
"Under $10,000        ",1717,2539,615,6615,1367,7140,381,297,141,141,126,-45,176,168,12,-81,0,0,*,*,55,355,675,34,228,33,77,-191,171,0,0,299,44,427,142,632,740,688
"$10,000 under $25,000",2399,4405,1436,40600,1926,30912,722,966,225,223,212,270,218,1443,*,*,25,40,*,*,232,4206,2915,154,2806,315,223,4043,502,0,0,1744,1271,1521,1365,770,1963,1163
"$25,000 under $50,000",2415,5521,1967,88371,2099,71433,992,1102,285,362,265,706,254,2210,15,-129,63,173,*,*,690,26566,9385,481,18560,909,677,26008,2028,0,0,2357,6036,2054,5474,276,285,1176
"$50,000 under $75,000",1555,4262,1543,95893,1411,79521,943,946,292,400,272,1238,175,1847,21,-92,48,175,19,127,756,47168,11450,576,36071,1220,745,46489,2924,*,*,1552,8890,1498,8048,0,0,756
"$75,000 under $100,000",801,2368,844,68659,750,56826,596,590,205,378,198,1770,104,1550,*,*,37,116,*,*,532,45757,8930,451,38824,1145,531,45665,2450,*,*,801,7341,797,6996,0,0,401
"$100,000 or more     ",586,1697,575,106017,515,57668,509,2392,233,1200,272,16603,96,2994,15,-112,22,134,14,183,433,73136,11753,379,65473,3294,433,73136,3109,79,221,585,17695,584,17913,0,0,363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98628,160,375,134,5251,134,4111,54,38,18,7,14,8,20,94,0,0,*,*,0,0,16,1044,195,11,675,10,17,1046,51,0,0,120,401,119,396,36,79,84
"Under $10,000        ",27,49,21,108,20,105,*,*,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,*,*,*,*,13,19,13
"$10,000 under $25,000",42,95,38,718,30,464,16,5,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,0,0,31,22,36,38,23,60,23
"$25,000 under $50,000",62,153,51,2353,59,1996,24,25,18,7,14,8,20,94,0,0,*,*,0,0,*,*,*,11,675,10,*,*,*,0,0,60,165,54,147,*,*,30
"$50,000 under $75,000",19,49,13,1215,25,1546,14,8,*,*,*,*,*,*,0,0,0,0,0,0,16,1044,195,*,*,*,17,1046,51,0,0,19,110,19,108,0,0,18
"$75,000 under $100,000",10,29,11,857,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,10,104,10,103,0,0,*
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98629,3305,7799,2621,196783,2830,146249,1705,3604,768,3057,703,17178,573,6444,159,-1627,92,359,27,205,1703,146880,34773,1423,128741,3355,1717,144452,10024,86,232,2759,22347,2674,22102,311,528,1719
"Under $10,000        ",476,620,77,-254,354,2203,127,219,79,91,66,234,76,-47,12,-105,12,27,*,*,22,138,293,13,83,17,44,-1849,147,0,0,129,22,174,64,96,87,205
"$10,000 under $25,000",569,950,244,9778,453,7355,174,213,77,132,66,101,62,437,10,-74,*,*,0,0,91,1598,1449,59,1064,95,89,1554,256,0,0,413,342,382,404,145,364,267
"$25,000 under $50,000",719,1646,567,26850,611,20964,330,545,146,161,115,200,142,1132,26,-282,20,86,*,*,326,12665,5300,261,10275,484,324,12578,1183,0,0,680,1708,623,1673,70,77,380
"$50,000 under $75,000",643,1808,677,40072,596,34140,381,351,136,203,113,398,115,1025,43,-571,24,83,16,119,479,30185,8850,393,24851,747,476,30018,2243,0,0,640,3321,608,3020,0,0,337
"$75,000 under $100,000",439,1378,538,37775,406,31850,318,243,112,313,116,886,83,1298,31,-180,14,48,*,*,372,32067,7650,322,27835,745,372,32067,2206,*,*,439,3619,429,3371,0,0,231
"$100,000 or more     ",459,1397,518,82562,410,49737,375,2033,218,2157,227,15359,95,2599,37,-415,22,115,11,86,413,70227,11231,375,64633,1267,412,70084,3989,86,232,458,13335,458,13570,0,0,299
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98631,1489,2803,628,62721,1042,30492,758,2674,348,1877,354,6530,270,2422,29,-165,55,254,*,*,398,32659,6914,307,28230,950,405,32168,1949,18,112,1080,7190,1092,7465,219,346,849
"Under $10,000        ",328,447,74,873,213,1065,97,149,55,65,46,-23,66,114,*,*,0,0,0,0,26,133,368,15,97,15,35,-317,71,0,0,49,7,89,50,97,93,151
"$10,000 under $25,000",415,735,166,7041,283,4314,157,261,60,130,56,28,58,403,12,-55,*,*,0,0,45,843,554,31,567,52,44,832,112,0,0,290,213,291,278,90,224,202
"$25,000 under $50,000",347,674,153,12498,257,7489,187,409,70,218,68,248,59,543,*,*,25,90,0,0,98,3662,1329,67,2488,96,97,3632,278,0,0,344,876,319,894,32,29,209
"$50,000 under $75,000",191,464,135,11614,147,7081,129,299,52,109,58,593,38,415,*,*,10,53,*,*,92,5636,1462,71,4335,181,92,5636,368,0,0,190,1091,186,1069,0,0,114
"$75,000 under $100,000",104,248,58,8938,74,4098,89,297,48,175,51,816,23,338,17,-110,20,111,0,0,64,5502,1259,56,4822,147,64,5502,399,0,0,103,933,103,950,0,0,83
"$100,000 or more     ",104,235,42,21757,68,6445,99,1259,63,1180,75,4868,26,609,*,*,*,*,*,*,73,16883,1942,67,15921,459,73,16883,721,18,112,104,4070,104,4224,0,0,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98632,19843,41739,13028,892588,16219,636469,9866,18174,3878,11973,3587,50970,2221,24663,115,-711,456,1537,98,1480,5836,460940,101608,4699,397268,18499,5802,456943,23687,182,565,15608,95748,14807,93625,3240,5713,9555
"Under $10,000        ",3628,5227,1236,15648,2851,14932,992,878,395,403,380,225,349,312,*,*,18,52,0,0,107,624,1595,70,426,74,135,-566,280,0,0,723,108,1006,355,1285,1483,1437
"$10,000 under $25,000",4982,8904,2753,84712,3758,59657,1783,2752,650,1170,558,509,415,2468,16,-101,58,142,*,*,562,10318,7374,395,7305,800,541,9910,1162,0,0,3740,2736,3331,2932,1447,3721,2483
"$25,000 under $50,000",4754,10117,3255,173674,3927,132825,2284,3182,819,1849,719,1552,467,2697,32,-160,138,417,*,*,1324,50853,17973,946,36457,2005,1301,50043,3589,*,*,4674,12273,4109,11117,508,509,2255
"$50,000 under $75,000",3118,8100,2730,192088,2714,150979,2015,2600,675,1541,627,2642,438,3874,30,-195,102,323,23,135,1499,93257,23166,1210,75443,2972,1488,92620,5434,15,21,3111,18186,3017,16745,0,0,1511
"$75,000 under $100,000",1813,5113,1710,155720,1639,126304,1401,2115,532,1484,481,2765,254,2909,13,-71,72,250,10,81,1185,102202,20690,1007,86914,3121,1182,101947,5414,17,32,1812,16947,1799,16090,0,0,885
"$100,000 or more     ",1548,4278,1344,270746,1330,151772,1391,6647,807,5526,822,43277,298,12403,24,-184,68,353,65,1264,1159,203686,30810,1071,190723,9527,1155,202989,7808,150,512,1548,45498,1545,46386,0,0,984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98635,686,1431,384,29133,531,18489,338,716,154,611,161,4097,118,775,46,-358,12,46,0,0,184,12410,2889,146,10482,394,187,12094,821,*,*,509,2981,513,3033,95,177,418
"Under $10,000        ",137,219,50,-312,89,609,44,109,19,31,27,18,26,10,17,-128,0,0,0,0,*,*,*,*,*,*,11,-201,23,0,0,15,2,35,16,37,51,69
"$10,000 under $25,000",170,310,84,2862,122,1802,64,95,36,99,35,12,25,224,*,*,12,46,0,0,37,631,415,26,447,33,30,576,61,0,0,116,80,118,109,44,110,107
"$25,000 under $50,000",171,401,132,6360,148,5134,84,98,29,34,24,142,27,183,15,-73,*,*,0,0,40,1591,552,27,1074,52,40,1591,172,0,0,170,426,153,388,14,16,95
"$50,000 under $75,000",96,233,61,5975,83,4229,61,144,29,100,41,381,27,291,14,-157,*,*,0,0,44,2759,698,35,2206,91,43,2699,185,0,0,96,555,95,546,0,0,66
"$75,000 under $100,000",55,137,32,4647,52,3649,34,43,13,8,*,*,*,*,*,*,*,*,0,0,29,2418,491,26,2182,61,29,2418,124,0,0,55,518,55,530,0,0,37
"$100,000 or more     ",57,131,25,9601,37,3066,51,227,28,339,34,3544,13,67,*,*,0,0,0,0,34,5011,733,32,4573,157,34,5011,256,*,*,57,1400,57,1444,0,0,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98637,52,83,7,1404,34,800,26,21,10,3,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,39,99,41,101,*,*,30
"Under $10,000        ",14,18,1,32,15,167,*,*,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,11
"$10,000 under $25,000",11,14,0,203,*,*,*,*,10,3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,15,9,0,0,*
"$25,000 under $50,000",27,51,6,1169,19,633,26,21,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,27,91,26,92,0,0,19
"$50,000 under $75,000",*,*,*,*,*,*,*,*,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,*
"$75,000 under $100,000",*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98638,632,1286,347,24977,499,16983,326,575,166,295,130,687,134,1079,24,-52,13,29,*,*,171,10971,2735,127,8519,431,169,10848,736,*,*,494,2275,489,2329,91,149,335
"Under $10,000        ",108,145,21,320,84,399,29,26,10,10,11,-1,17,7,11,-23,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,17,2,29,9,34,30,39
"$10,000 under $25,000",152,257,59,2515,100,1518,60,84,30,44,19,108,30,183,*,*,0,0,0,0,21,340,294,13,190,24,21,288,40,0,0,105,74,109,110,42,103,83
"$25,000 under $50,000",177,360,107,6586,148,4975,94,107,38,49,27,136,34,269,*,*,*,*,0,0,44,1736,521,29,1136,55,42,1665,129,0,0,177,497,160,490,15,16,90
"$50,000 under $75,000",121,329,106,7384,103,5584,82,175,49,106,38,69,29,248,13,-29,13,29,0,0,56,3448,859,45,2800,97,56,3448,254,0,0,121,654,118,612,0,0,74
"$75,000 under $100,000",39,93,21,3437,34,2321,30,11,19,18,16,62,24,372,0,0,*,*,*,*,28,2488,564,22,1958,103,28,2488,176,0,0,39,381,38,403,0,0,26
"$100,000 or more     ",35,102,33,4735,30,2186,31,172,20,68,19,313,*,*,*,*,0,0,*,*,22,2959,497,18,2435,152,22,2959,137,*,*,35,667,35,705,0,0,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98639,380,825,231,20488,306,12930,172,365,60,107,67,1450,53,444,0,0,*,*,*,*,121,10197,2079,91,7149,194,118,10018,552,*,*,303,2067,294,2467,49,77,196
"Under $10,000        ",56,71,9,261,44,205,10,6,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,10,1,14,3,19,18,31
"$10,000 under $25,000",86,150,38,1436,59,883,32,79,14,21,18,-7,18,47,0,0,0,0,0,0,16,241,247,*,*,*,16,230,32,0,0,58,42,58,45,30,59,45
"$25,000 under $50,000",101,226,67,3635,83,2797,48,61,24,40,23,30,24,133,0,0,*,*,0,0,25,908,299,25,734,17,24,876,55,0,0,99,245,88,233,*,*,49
"$50,000 under $75,000",62,177,59,3886,57,3245,28,23,*,*,*,*,*,*,0,0,0,0,0,0,32,1997,543,29,1805,65,30,1861,115,0,0,62,335,59,293,0,0,33
"$75,000 under $100,000",43,118,34,3646,35,2577,29,34,22,46,12,37,11,264,0,0,0,0,0,0,24,2056,411,20,1733,67,24,2056,102,0,0,43,392,43,380,0,0,18
"$100,000 or more     ",32,83,24,7624,28,3223,25,162,*,*,14,1390,*,*,0,0,0,0,*,*,24,4995,579,17,2877,45,24,4995,248,*,*,31,1052,32,1513,0,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98640,1792,3213,542,67543,1119,29555,1007,2863,447,1449,423,7019,238,1272,*,*,32,147,*,*,529,33297,9003,410,27560,919,529,31707,2478,13,49,1274,6855,1246,7041,256,393,958
"Under $10,000        ",372,523,75,310,237,1183,133,185,61,95,59,-26,52,-55,0,0,0,0,0,0,32,179,430,17,88,22,41,-1063,108,0,0,50,5,82,33,115,86,166
"$10,000 under $25,000",546,939,174,9296,341,5032,260,504,97,205,87,82,55,284,0,0,*,*,0,0,100,1732,1409,72,1276,114,96,1666,245,0,0,366,255,339,299,104,261,270
"$25,000 under $50,000",443,854,158,15728,276,7545,275,617,108,280,94,237,62,421,0,0,16,63,0,0,165,6000,2619,126,4624,258,163,5926,620,0,0,427,978,396,999,37,46,242
"$50,000 under $75,000",241,508,94,14649,153,7344,169,376,85,313,75,466,38,543,0,0,16,84,0,0,114,7074,1887,92,5698,194,112,6945,481,0,0,241,1375,239,1396,0,0,152
"$75,000 under $100,000",91,197,30,7733,50,2907,77,397,39,189,44,533,14,116,0,0,*,*,0,0,45,3839,910,40,3396,85,44,3760,254,0,0,91,839,91,862,0,0,54
"$100,000 or more     ",99,192,11,19827,62,5544,93,784,57,367,64,5727,17,-37,*,*,*,*,*,*,73,14473,1748,63,12478,246,73,14473,770,13,49,99,3403,99,3452,0,0,74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98641,99,167,9,5776,48,1444,64,76,43,64,34,238,14,43,*,*,*,*,*,*,38,3524,707,30,2330,39,39,3546,224,*,*,76,669,77,743,*,*,67
"Under $10,000        ",15,20,1,64,12,163,15,11,10,4,*,*,*,*,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,*,*,*,*,*,*,11
"$10,000 under $25,000",19,31,2,301,*,*,*,*,*,*,*,*,14,43,0,0,0,0,0,0,10,346,174,0,0,0,11,368,46,0,0,12,6,13,4,0,0,10
"$25,000 under $50,000",24,42,4,862,13,415,18,25,18,32,24,7,*,*,0,0,*,*,0,0,*,*,*,16,745,16,*,*,*,0,0,23,54,23,69,0,0,17
"$50,000 under $75,000",18,35,1,1126,13,504,15,15,*,*,*,*,*,*,*,*,0,0,0,0,10,646,152,*,*,*,10,646,43,0,0,18,104,18,114,0,0,11
"$75,000 under $100,000",12,20,0,1052,10,362,16,25,15,28,10,231,*,*,0,0,0,0,0,0,18,2532,381,14,1585,23,18,2532,135,0,0,12,129,12,147,0,0,18
"$100,000 or more     ",11,19,1,2371,*,*,*,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,11,376,11,409,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98642,6073,13682,4258,484563,4915,284599,3581,11692,1886,6308,1787,70151,1052,22829,210,-1798,221,965,106,1908,3021,370194,68136,2632,341154,11104,3031,366089,19934,195,590,5025,70580,4922,71515,457,771,3480
"Under $10,000        ",962,1222,153,-33,715,4650,346,488,183,258,194,345,112,-742,18,-281,0,0,0,0,53,268,911,39,201,48,91,-2520,308,0,0,252,45,329,112,161,165,424
"$10,000 under $25,000",998,1696,433,17031,734,11767,411,714,210,338,175,127,138,971,25,31,17,56,*,*,201,3552,3107,162,2865,299,195,3441,634,0,0,718,591,698,738,201,506,555
"$25,000 under $50,000",1215,2521,765,45034,964,32486,616,1090,282,639,253,530,219,1972,24,-57,41,155,*,*,495,18992,7953,407,15729,996,483,18519,1834,0,0,1168,3040,1064,3043,95,100,672
"$50,000 under $75,000",1021,2722,936,63747,863,46934,671,1564,318,776,283,1073,195,3253,42,-225,51,202,25,145,670,42276,12769,552,34924,1553,664,41928,3218,0,0,1012,5435,959,5282,0,0,607
"$75,000 under $100,000",701,2015,708,60760,620,46620,517,1257,246,670,224,1391,133,2130,31,-512,36,151,13,103,556,48427,11778,488,42534,1361,554,48262,3378,*,*,700,6113,697,5887,0,0,395
"$100,000 or more     ",1176,3506,1263,298024,1019,142142,1020,6579,647,3627,658,66685,255,15245,70,-754,76,401,68,1660,1046,256679,31618,984,244901,6847,1044,256459,10562,195,590,1175,55356,1175,56453,0,0,827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98643,158,320,78,6606,117,4109,83,158,43,56,36,433,18,74,*,*,*,*,0,0,37,2526,586,23,1377,35,38,2511,135,0,0,123,617,123,623,20,37,93
"Under $10,000        ",26,41,7,127,20,118,*,*,13,10,*,*,*,*,*,*,0,0,0,0,*,*,*,11,335,15,*,*,*,0,0,*,*,*,*,*,*,14
"$10,000 under $25,000",36,67,17,646,24,346,23,27,*,*,*,*,18,74,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,27,21,32,36,20,37,13
"$25,000 under $50,000",50,107,29,1807,39,1268,24,77,19,27,24,31,*,*,*,*,*,*,0,0,22,948,305,*,*,*,23,933,74,0,0,50,124,45,115,*,*,29
"$50,000 under $75,000",20,48,14,1198,13,695,15,10,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,12,1042,20,*,*,*,0,0,20,98,20,92,0,0,25
"$75,000 under $100,000",13,27,4,1112,11,694,10,4,11,19,12,402,*,*,0,0,0,0,0,0,15,1578,281,*,*,*,15,1578,61,0,0,13,133,13,133,0,0,*
"$100,000 or more     ",13,30,7,1716,10,988,11,40,*,*,*,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,13,241,13,247,0,0,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98644,355,662,153,13305,273,7841,178,596,83,308,85,566,70,398,*,*,11,32,0,0,86,5832,1458,67,4752,246,85,5698,320,*,*,274,1264,263,1291,41,65,193
"Under $10,000        ",74,99,17,277,54,278,25,15,14,22,16,-5,12,27,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,12,1,22,8,15,16,34
"$10,000 under $25,000",99,153,29,1674,80,1212,38,88,17,46,16,-4,12,78,0,0,11,32,0,0,*,*,*,*,*,*,*,*,*,0,0,80,60,71,68,26,49,50
"$25,000 under $50,000",86,184,51,3108,65,1909,47,100,16,21,18,79,19,130,*,*,*,*,0,0,35,1179,481,25,776,78,36,1165,94,0,0,86,203,75,196,*,*,51
"$50,000 under $75,000",54,125,33,3335,41,2129,36,206,21,134,21,52,27,163,*,*,*,*,0,0,37,2534,689,29,2020,106,35,2414,148,0,0,54,313,53,314,0,0,31
"$75,000 under $100,000",23,52,8,2021,19,1179,16,29,15,85,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,23,234,23,234,0,0,13
"$100,000 or more     ",19,49,15,2890,14,1134,16,158,*,*,14,444,*,*,0,0,0,0,0,0,14,2119,288,13,1956,62,14,2119,78,*,*,19,453,19,471,0,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98645,461,1045,315,23341,371,16059,263,332,87,169,84,1180,67,163,*,*,*,*,0,0,153,12391,2746,123,10610,244,153,12217,807,*,*,369,2507,355,2389,56,96,231
"Under $10,000        ",70,100,18,240,53,282,25,13,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,16,3,22,8,19,23,29
"$10,000 under $25,000",96,183,47,1617,69,948,44,60,33,31,20,6,23,149,0,0,0,0,0,0,15,283,209,11,197,35,17,248,35,0,0,60,43,60,61,24,57,45
"$25,000 under $50,000",112,244,73,4104,90,3036,59,66,*,*,12,124,12,-16,0,0,*,*,0,0,33,1290,454,23,880,40,32,1253,97,0,0,110,276,92,244,13,16,60
"$50,000 under $75,000",74,212,80,4468,65,3770,49,43,19,13,18,40,14,-51,*,*,*,*,0,0,34,2097,559,26,1605,28,34,2097,180,0,0,74,393,73,345,0,0,39
"$75,000 under $100,000",69,189,57,5951,59,4402,50,41,24,36,22,216,18,81,0,0,0,0,0,0,38,3296,767,33,2875,72,38,3296,224,0,0,69,629,68,597,0,0,32
"$100,000 or more     ",40,117,40,6961,35,3621,36,109,11,89,12,794,*,*,*,*,0,0,0,0,33,5425,757,30,5053,69,32,5323,271,*,*,40,1163,40,1134,0,0,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98647,170,375,107,5504,139,3935,56,63,15,5,17,224,32,114,*,*,*,*,0,0,32,1914,506,16,1001,13,32,1943,163,0,0,113,396,114,424,40,65,103
"Under $10,000        ",42,65,13,138,30,146,19,5,*,*,*,*,12,21,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,14,11,24
"$10,000 under $25,000",43,87,26,751,36,601,*,*,0,0,*,*,*,*,0,0,*,*,0,0,*,*,*,0,0,0,*,*,*,0,0,29,23,37,38,16,41,18
"$25,000 under $50,000",50,131,43,1830,42,1291,19,8,15,5,*,*,10,59,*,*,0,0,0,0,15,532,215,*,*,*,15,536,55,0,0,49,102,42,104,10,13,35
"$50,000 under $75,000",20,49,10,1250,19,943,18,50,*,*,17,224,10,34,*,*,0,0,0,0,17,1382,291,16,1001,13,17,1407,108,0,0,20,111,20,121,0,0,15
"$75,000 under $100,000",15,43,15,1535,12,954,*,*,0,0,*,*,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,15,160,15,161,0,0,11
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98648,1274,2574,723,60651,1045,41139,591,1266,275,972,274,3921,213,2593,10,-3,30,118,*,*,440,36037,7972,335,30361,967,439,35291,2016,17,48,986,6875,973,6943,190,318,692
