adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"Under $10,000        ",24,29,1,77,13,55,16,8,12,9,*,*,*,*,--,--,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,*,*,*,*,*,*,11
"$10,000 under $25,000",16,28,7,298,12,192,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,13,20,16,*,*,11
"$25,000 under $50,000",20,49,19,763,17,599,20,8,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,11,767,4,*,*,*,--,--,20,55,16,49,--,--,13
"$50,000 under $75,000",15,43,15,965,13,777,*,*,*,*,17,2,--,--,*,*,--,--,--,--,21,1653,312,*,*,*,20,1573,78,--,--,15,90,15,83,--,--,11
"$75,000 under $100,000",19,49,12,1916,18,1380,12,6,10,18,*,*,--,--,*,*,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,19,230,19,228,--,--,14
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,--,--,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98562,99,182,51,2414,75,1834,23,23,10,3,*,*,*,*,--,--,*,*,--,--,14,580,167,*,*,*,12,495,29,--,--,70,172,72,156,19,32,55
"Under $10,000        ",27,38,9,88,16,75,--,--,10,3,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,10,4,*,*,12
"$10,000 under $25,000",29,55,20,517,22,365,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,27,20,22,20,19,32,18
"$25,000 under $50,000",30,58,15,1041,25,795,23,23,*,*,*,*,*,*,--,--,*,*,--,--,14,580,167,*,*,*,12,495,29,--,--,30,78,28,68,*,*,25
"$50,000 under $75,000",13,31,7,768,12,599,*,*,*,*,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,13,74,12,64,--,--,*
"$75,000 under $100,000",*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98563,3276,6952,1994,148753,2695,111835,1697,3126,743,2526,607,3505,417,5326,87,-458,96,321,12,155,945,69755,16182,731,57711,1899,945,69397,3804,16,45,2644,16098,2565,15787,364,596,1630
"Under $10,000        ",577,790,129,1668,423,2301,190,194,95,142,85,-74,62,21,18,-201,*,*,--,--,23,137,918,11,64,12,28,-100,69,--,--,123,23,158,55,142,164,225
"$10,000 under $25,000",681,1160,287,11562,499,7870,266,416,111,218,76,-21,73,568,*,*,17,55,*,*,70,1260,976,46,837,73,67,1217,164,--,--,514,415,489,472,160,381,326
"$25,000 under $50,000",830,1678,473,30675,693,23547,407,564,160,304,130,187,101,806,28,-82,24,69,--,--,210,8094,2866,149,5773,239,208,8016,610,--,--,820,2283,740,2166,62,51,416
"$50,000 under $75,000",628,1646,520,38697,557,31564,385,591,153,407,132,487,96,895,15,-66,25,74,*,*,283,17642,4204,217,13621,449,283,17642,1030,--,--,627,3647,619,3338,--,--,337
"$75,000 under $100,000",332,967,320,28622,319,24325,252,176,114,294,82,354,44,476,10,-98,13,44,12,155,194,16819,3308,159,13832,309,194,16819,929,*,*,332,3147,331,2982,--,--,172
"$100,000 or more     ",228,711,265,37529,204,22228,197,1185,110,1161,102,2572,41,2560,16,-11,17,79,*,*,165,25803,3910,149,23584,817,165,25803,1002,16,45,228,6583,228,6774,--,--,154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98564,903,2000,641,33376,691,21807,409,676,143,349,180,1943,141,985,52,-283,14,26,*,*,240,15489,4138,183,12545,590,243,15468,1071,*,*,642,2976,609,3015,144,257,552
"Under $10,000        ",215,337,79,703,150,777,65,78,18,36,29,18,30,74,16,-40,--,--,--,--,*,*,*,*,*,*,10,25,27,--,--,34,6,52,20,66,83,111
"$10,000 under $25,000",215,436,142,3679,161,2568,65,104,25,38,30,32,20,63,*,*,*,*,--,--,35,545,544,23,360,51,28,499,94,--,--,139,104,122,120,62,160,133
"$25,000 under $50,000",227,542,189,8404,186,6409,104,181,34,74,37,258,36,327,13,-155,14,26,--,--,65,2494,917,42,1622,86,65,2494,213,--,--,224,567,196,536,16,14,147
"$50,000 under $75,000",127,338,114,7663,105,5129,82,127,27,132,31,69,27,225,13,-96,*,*,--,--,66,4089,1112,54,3340,138,66,4089,297,--,--,126,683,121,654,--,--,81
"$75,000 under $100,000",75,226,79,6317,57,4306,57,105,24,60,28,404,15,34,*,*,--,--,--,--,42,3527,706,37,3092,115,42,3527,179,--,--,75,635,74,610,--,--,45
"$100,000 or more     ",44,121,38,6610,32,2618,36,81,15,9,25,1162,13,262,10,8,*,*,*,*,32,4834,859,27,4131,200,32,4834,261,*,*,44,981,44,1075,--,--,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98565,710,1560,525,25286,613,20475,270,266,80,52,56,475,92,401,*,*,10,29,--,--,178,9962,2578,117,7292,294,177,9841,555,*,*,549,2172,507,2065,129,221,348
"Under $10,000        ",124,197,54,537,94,445,26,9,*,*,14,14,17,-6,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,22,4,35,15,44,62,47
"$10,000 under $25,000",200,352,102,3324,165,2572,60,27,20,6,*,*,15,66,*,*,10,29,--,--,23,392,263,*,*,*,25,378,42,--,--,146,117,129,123,61,139,96
"$25,000 under $50,000",200,487,190,7222,178,5952,78,125,22,18,12,-16,31,238,--,--,*,*,--,--,69,2555,935,53,1817,108,67,2499,203,--,--,195,481,161,435,24,20,108
"$50,000 under $75,000",115,326,117,7018,108,6116,57,74,21,18,20,13,29,103,--,--,--,--,--,--,45,2763,640,28,1746,56,44,2712,139,--,--,115,656,111,580,--,--,63
"$75,000 under $100,000",45,126,38,3810,45,3384,28,4,17,10,*,*,*,*,--,--,--,--,--,--,26,2203,425,25,2124,99,26,2203,85,--,--,45,420,45,400,--,--,16
"$100,000 or more     ",26,72,24,3375,23,2006,21,27,*,*,10,464,*,*,*,*,*,*,--,--,15,2049,315,11,1605,31,15,2049,86,*,*,26,494,26,512,--,--,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98566,70,136,35,1953,64,1724,16,5,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,47,146,45,147,17,31,32
"Under $10,000        ",14,23,7,72,14,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*
"$10,000 under $25,000",27,49,14,404,22,328,*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,18,10,17,14,17,31,22
"$25,000 under $50,000",15,36,12,541,15,533,16,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,37,14,31,--,--,10
"$50,000 under $75,000",14,28,2,936,13,788,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,14,99,14,102,--,--,*
"$75,000 under $100,000",*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98568,957,2024,654,31090,810,24002,350,351,109,133,95,408,101,658,53,-288,13,50,--,--,181,9955,2810,125,7078,303,181,9750,597,*,*,709,2545,647,2496,218,385,515
"Under $10,000        ",203,292,62,793,160,847,46,46,17,21,16,-34,21,35,18,-128,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,32,6,50,19,77,93,93
"$10,000 under $25,000",267,530,188,4717,216,3554,77,92,18,21,15,24,22,127,*,*,*,*,--,--,27,446,396,18,271,22,29,312,83,--,--,195,159,161,162,100,257,153
"$25,000 under $50,000",283,661,241,10235,246,8154,105,111,34,46,18,24,36,323,14,-3,13,50,--,--,63,2467,821,39,1534,72,61,2396,190,--,--,278,732,235,692,41,35,151
"$50,000 under $75,000",129,329,96,7835,120,6495,68,44,30,26,31,49,12,22,11,-69,*,*,--,--,49,2944,716,36,2159,102,49,2944,144,--,--,129,756,126,718,--,--,71
"$75,000 under $100,000",50,141,46,4156,48,3603,31,8,*,*,*,*,10,151,10,-88,--,--,--,--,28,2327,539,19,1578,58,28,2327,106,--,--,50,431,50,415,--,--,30
"$100,000 or more     ",25,71,21,3354,20,1349,23,50,10,19,15,345,*,*,*,*,--,--,--,--,14,1771,338,13,1536,49,14,1771,74,*,*,25,461,25,490,--,--,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98569,2293,4260,834,93545,1550,48140,1233,2978,601,1463,533,7127,351,5764,--,--,61,189,10,207,785,50487,13702,641,42971,1535,794,50062,3594,21,68,1738,9431,1731,9984,293,449,1187
"Under $10,000        ",443,638,110,1547,280,1440,138,131,67,53,29,108,71,277,--,--,*,*,--,--,37,216,527,28,171,20,51,12,139,--,--,75,12,121,61,130,138,207
"$10,000 under $25,000",645,1059,198,11049,415,6367,291,412,138,227,122,116,70,403,--,--,17,29,--,--,130,2354,1697,97,1794,117,130,2354,363,--,--,474,352,461,420,123,278,313
"$25,000 under $50,000",557,1081,228,20162,383,10963,311,536,144,280,125,295,90,905,--,--,13,36,--,--,207,7709,3119,162,6067,334,204,7618,755,--,--,543,1372,507,1464,40,33,299
"$50,000 under $75,000",328,741,158,20166,245,11658,226,328,110,305,100,554,55,1023,--,--,19,70,10,207,178,11010,3124,148,9205,354,176,10880,817,--,--,326,1844,322,1899,--,--,178
"$75,000 under $100,000",165,401,89,14140,113,7020,130,374,68,314,67,620,28,760,--,--,*,*,--,--,115,9860,2274,103,8871,288,115,9860,640,--,--,165,1484,165,1553,--,--,78
"$100,000 or more     ",155,340,51,26481,114,10692,137,1197,74,284,90,5434,37,2396,--,--,12,54,*,*,118,19338,2961,103,16863,422,118,19338,880,21,68,155,4367,155,4587,--,--,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98570,1461,3233,1023,53807,1203,39659,632,1022,249,658,241,2998,201,1350,105,-718,36,117,*,*,388,22891,6479,284,17912,948,391,22741,1398,*,*,1108,4632,1055,4469,250,396,838
"Under $10,000        ",280,405,73,1069,197,1123,78,79,29,33,29,-9,33,7,15,-51,--,--,--,--,16,84,223,10,62,18,22,-2,60,--,--,50,6,74,27,87,79,133
"$10,000 under $25,000",383,741,228,6436,299,4632,137,169,59,84,53,97,53,371,16,-77,*,*,*,*,56,982,765,36,606,82,54,948,126,--,--,267,195,253,238,115,284,212
"$25,000 under $50,000",399,975,356,14333,354,11554,176,163,62,80,51,3,57,518,22,-208,24,77,--,--,101,3854,1431,65,2486,147,100,3824,298,--,--,393,937,335,848,48,33,229
"$50,000 under $75,000",243,668,221,14907,221,12565,123,116,45,65,44,246,35,166,27,-280,12,40,--,--,119,7373,1947,94,5844,182,119,7373,445,--,--,242,1344,238,1207,--,--,155
"$75,000 under $100,000",104,304,102,8856,91,6409,78,107,32,124,42,829,12,-163,25,-102,--,--,--,--,61,5254,1153,50,4354,144,61,5254,276,*,*,104,902,103,851,--,--,67
"$100,000 or more     ",52,140,43,8206,41,3376,40,388,22,272,22,1832,11,451,*,*,*,*,--,--,35,5344,960,29,4560,375,35,5344,193,*,*,52,1248,52,1298,--,--,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98571,152,287,68,5287,123,3504,56,49,13,16,13,274,14,2,--,--,*,*,--,--,23,1874,449,17,1398,41,21,1681,100,--,--,110,498,113,490,22,30,69
"Under $10,000        ",32,46,9,134,24,114,*,*,--,--,--,--,14,2,--,--,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,*,*,*,*,12,11,13
"$10,000 under $25,000",47,82,17,791,37,539,20,10,13,16,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,39,25,45,35,10,19,27
"$25,000 under $50,000",41,70,14,1482,33,1010,22,27,*,*,13,274,*,*,--,--,*,*,--,--,10,362,164,17,1398,41,11,380,36,--,--,40,115,38,117,--,--,16
"$50,000 under $75,000",20,60,22,1173,18,985,14,12,*,*,*,*,*,*,--,--,--,--,--,--,13,1512,285,*,*,*,10,1301,64,--,--,20,100,19,85,--,--,13
"$75,000 under $100,000",12,29,6,1707,11,856,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,--,--,--,11,258,11,253,--,--,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98572,331,725,237,11823,277,9232,135,142,47,29,49,141,19,18,*,*,*,*,--,--,53,3223,760,41,2646,68,53,3056,155,*,*,257,1022,237,952,58,91,166
"Under $10,000        ",68,112,29,342,48,338,18,27,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,14,2,17,6,27,33,28
"$10,000 under $25,000",93,155,41,1591,71,1121,30,29,23,13,21,-15,*,*,*,*,--,--,--,--,20,456,225,14,340,15,21,435,42,--,--,73,61,67,57,18,51,44
"$25,000 under $50,000",68,169,67,2458,63,2048,23,10,*,*,*,*,19,18,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,68,178,52,159,13,7,38
"$50,000 under $75,000",71,189,61,4429,67,3768,44,35,24,16,28,156,*,*,*,*,*,*,--,--,15,919,216,12,748,24,15,919,43,--,--,71,437,71,396,--,--,33
"$75,000 under $100,000",20,68,28,1687,18,1346,20,41,*,*,*,*,--,--,--,--,--,--,--,--,18,1848,319,15,1558,29,17,1702,70,--,--,20,176,19,157,--,--,13
"$100,000 or more     ",11,32,11,1316,10,611,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,11,168,11,177,--,--,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98575,87,168,42,3040,73,2384,44,26,21,21,18,3,10,4,*,*,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,68,278,69,289,*,*,37
"Under $10,000        ",16,21,3,68,12,49,*,*,*,*,*,*,10,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$10,000 under $25,000",25,39,9,395,18,250,15,6,*,*,18,3,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,14,24,20,*,*,16
"$25,000 under $50,000",23,51,14,901,22,721,12,9,21,21,*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,23,72,22,73,--,--,11
"$50,000 under $75,000",23,57,16,1676,21,1364,17,11,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,23,192,23,196,--,--,10
"$75,000 under $100,000",*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98576,1900,4125,1324,77561,1610,61904,744,517,328,411,265,2585,332,2787,62,-773,25,59,*,*,711,44294,11112,538,35548,896,714,44058,2886,*,*,1512,7172,1460,7007,293,468,923
"Under $10,000        ",348,488,102,1367,243,1535,78,50,31,32,29,-21,57,-89,13,-238,--,--,--,--,23,129,281,15,72,8,30,77,78,--,--,72,14,112,45,112,123,136
"$10,000 under $25,000",409,745,237,6994,335,5441,104,60,41,65,29,-4,64,601,*,*,13,30,--,--,54,973,729,41,758,56,54,973,194,--,--,310,237,282,311,137,312,207
"$25,000 under $50,000",524,1171,401,19385,460,16017,204,84,76,87,62,213,97,904,19,-202,*,*,--,--,218,8380,2762,151,5861,217,215,8255,642,--,--,512,1353,460,1276,44,33,256
"$50,000 under $75,000",357,991,351,21815,330,18373,194,172,95,132,66,82,67,520,19,-217,12,29,--,--,212,13085,3421,153,9543,272,211,13026,866,--,--,356,1945,344,1754,--,--,188
"$75,000 under $100,000",167,464,148,14390,158,12283,93,48,54,49,40,309,24,113,11,-116,--,--,--,--,129,11099,2268,111,9585,218,129,11099,594,--,--,167,1567,167,1483,--,--,83
"$100,000 or more     ",95,266,85,13610,84,8255,71,103,31,46,39,2006,23,738,*,*,--,--,*,*,75,10628,1651,67,9729,125,75,10628,512,*,*,95,2056,95,2138,--,--,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98577,2465,5279,1629,88412,1954,67039,1194,1617,532,1240,470,2760,307,2423,148,-926,57,188,*,*,505,30262,7283,405,25372,946,511,29896,1921,*,*,1812,8117,1738,7777,392,653,1560
"Under $10,000        ",552,785,151,1380,391,1849,166,156,82,64,76,-20,75,94,13,-189,--,--,--,--,17,101,185,14,91,15,25,-186,53,--,--,85,13,132,51,153,172,293
"$10,000 under $25,000",630,1169,346,10597,445,6879,239,391,104,132,85,172,57,315,14,-10,*,*,--,--,66,1163,794,44,761,59,65,1139,146,--,--,452,336,419,376,171,419,388
"$25,000 under $50,000",603,1365,442,22020,504,16771,304,331,130,403,102,280,72,531,31,-147,25,74,*,*,131,4944,1701,98,3736,216,131,4944,397,--,--,595,1532,517,1404,68,62,394
"$50,000 under $75,000",375,1059,378,23233,340,19457,233,183,83,87,74,705,54,76,40,-237,14,41,--,--,139,8713,2005,112,7056,250,138,8658,525,--,--,375,2162,365,1906,--,--,251
"$75,000 under $100,000",204,607,213,17390,188,13832,159,231,76,212,70,656,29,473,27,-198,18,73,*,*,99,8453,1658,87,7440,237,99,8453,485,*,*,204,1879,204,1801,--,--,151
"$100,000 or more     ",101,294,99,13792,86,8251,93,325,57,342,63,967,20,934,23,-145,*,*,--,--,53,6888,940,50,6288,169,53,6888,315,*,*,101,2195,101,2239,--,--,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98579,4829,10606,3405,194054,4151,156420,1960,2061,692,1109,607,5695,662,5580,137,-1023,93,262,11,65,1706,106075,26396,1296,83575,2524,1712,105647,6570,17,36,3862,17751,3663,17032,754,1241,2549
"Under $10,000        ",800,1173,264,2261,613,3524,186,161,68,83,60,-64,111,-226,17,-170,--,--,--,--,40,251,543,20,125,23,51,71,119,--,--,167,27,240,87,272,314,366
"$10,000 under $25,000",1061,1962,603,18145,833,13533,320,349,120,194,93,17,109,805,27,-284,*,*,--,--,141,2672,1847,96,1828,121,140,2651,438,--,--,755,608,701,716,321,787,589
"$25,000 under $50,000",1470,3256,1092,53696,1304,44630,571,555,184,234,162,266,209,1374,33,-228,38,98,11,65,528,20188,7033,376,14481,565,527,20160,1600,--,--,1442,3725,1257,3400,161,140,782
"$50,000 under $75,000",865,2367,822,53214,807,44703,450,292,167,194,141,250,133,1492,30,-285,29,72,*,*,505,31302,7419,399,24759,614,502,31103,1801,*,*,865,4964,834,4562,--,--,447
"$75,000 under $100,000",446,1315,450,38129,427,33028,283,264,91,115,82,721,65,845,19,-197,13,35,*,*,335,28713,5888,271,23242,563,335,28713,1631,*,*,446,4007,444,3773,--,--,246
"$100,000 or more     ",187,533,174,28609,167,17002,150,440,62,289,69,4505,35,1290,11,141,13,57,*,*,157,22949,3666,134,19140,638,157,22949,981,17,36,187,4420,187,4494,--,--,119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98580,3616,8151,2675,164178,3122,133669,1399,1779,601,1161,500,5250,459,3551,113,-1311,73,186,*,*,1489,103424,26345,1190,87844,2571,1489,101802,6612,28,55,2935,16092,2738,15450,490,811,1813
"Under $10,000        ",572,821,173,1476,426,2840,127,116,50,65,38,-31,67,169,*,*,*,*,--,--,37,225,509,20,122,16,49,-810,158,--,--,116,20,158,61,169,207,236
"$10,000 under $25,000",788,1417,407,13678,614,9997,213,228,76,116,69,76,93,732,25,-231,12,31,--,--,110,2014,1529,78,1438,98,108,1980,331,--,--,587,484,524,561,222,524,383
"$25,000 under $50,000",951,2222,815,34984,850,29520,322,293,120,126,98,147,108,579,40,-429,27,70,*,*,399,15381,5721,292,11317,438,395,15266,1355,--,--,929,2315,774,2049,99,80,492
"$50,000 under $75,000",655,1795,629,40247,610,33539,314,436,143,163,100,293,86,974,34,-334,23,48,--,--,419,25968,6847,329,20429,547,415,25720,1691,--,--,654,3583,638,3279,--,--,337
"$75,000 under $100,000",367,1074,377,31555,358,27586,210,180,96,132,82,187,59,570,*,*,*,*,*,*,286,24712,5479,251,21747,461,285,24635,1461,*,*,367,3321,361,3124,--,--,189
"$100,000 or more     ",283,822,274,42238,264,30187,213,526,116,559,113,4578,46,527,14,-317,11,37,*,*,238,35124,6260,220,32791,1011,237,35011,1616,28,55,282,6369,283,6376,--,--,176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98581,170,286,9,4320,63,1089,128,246,39,51,33,-6,*,*,*,*,--,--,--,--,34,1261,612,25,946,60,35,1270,112,--,--,119,249,121,248,*,*,97
"Under $10,000        ",32,46,1,174,15,66,18,35,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,--,--,*,*,*,*,*,*,20
"$10,000 under $25,000",69,116,1,1217,21,243,54,62,17,11,21,-30,*,*,--,--,--,--,--,--,12,229,185,*,*,*,13,238,33,--,--,53,27,55,30,--,--,40
"$25,000 under $50,000",53,94,7,1910,27,780,43,128,22,40,12,24,*,*,*,*,--,--,--,--,22,1032,427,25,946,60,22,1032,79,--,--,50,127,50,127,--,--,37
"$50,000 under $75,000",16,30,0,1019,*,*,13,21,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,16,95,16,91,--,--,*
"$75,000 under $100,000",*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98582,312,629,163,12507,229,6797,147,263,51,189,61,1244,37,281,*,*,*,*,--,--,73,4836,1235,50,3096,84,74,4797,274,*,*,228,1323,222,1369,56,97,172
"Under $10,000        ",63,98,22,218,41,211,18,15,16,21,10,8,18,121,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,13,2,19,9,24,25,25
"$10,000 under $25,000",93,173,49,1588,69,1055,36,53,*,*,10,11,*,*,--,--,--,--,--,--,17,296,240,*,*,*,18,257,50,--,--,64,43,58,48,32,72,53
"$25,000 under $50,000",80,165,41,2887,59,1871,38,64,12,6,11,-14,19,160,--,--,--,--,--,--,24,881,402,24,728,32,24,881,56,--,--,75,202,70,213,*,*,40
"$50,000 under $75,000",39,101,29,2358,35,1762,24,15,10,5,11,59,*,*,--,--,--,--,--,--,21,1452,352,14,860,24,21,1452,87,--,--,39,208,38,202,--,--,22
"$75,000 under $100,000",15,37,9,1305,12,839,10,7,*,*,*,*,--,--,--,--,*,*,--,--,*,*,*,12,1508,28,*,*,*,--,--,15,144,15,142,--,--,11
"$100,000 or more     ",22,55,13,4151,13,1059,21,109,13,157,19,1180,*,*,*,*,--,--,--,--,11,2207,241,*,*,*,11,2207,81,*,*,22,724,22,755,--,--,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98583,142,320,96,6016,116,4304,60,46,21,15,18,4,*,*,*,*,--,--,--,--,40,2754,598,22,1539,26,38,2537,145,*,*,120,545,110,546,22,37,87
"Under $10,000        ",*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*
"$10,000 under $25,000",54,91,22,765,40,583,18,9,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,33,23,31,26,22,37,28
"$25,000 under $50,000",44,114,43,1568,35,1192,16,13,*,*,18,4,*,*,*,*,--,--,--,--,16,535,175,*,*,*,16,533,52,--,--,43,95,35,85,*,*,24
"$50,000 under $75,000",34,90,26,2291,31,1785,16,11,21,15,*,*,*,*,--,--,--,--,--,--,11,658,156,22,1539,26,11,658,26,--,--,34,229,34,225,--,--,20
"$75,000 under $100,000",*,*,*,*,*,*,10,13,*,*,*,*,--,--,--,--,--,--,--,--,13,1561,267,*,*,*,11,1346,67,--,--,*,*,*,*,--,--,15
"$100,000 or more     ",10,25,5,1392,10,744,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,10,198,10,210,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98584,13371,27966,8344,548538,10717,377462,5923,10478,2819,8696,2429,21288,1585,20328,138,-852,301,888,63,853,4136,265420,66135,3351,228143,7261,4153,260840,17537,62,165,10501,54134,9967,53696,2128,3588,7248
"Under $10,000        ",2412,3546,809,6319,1797,9554,594,663,281,501,280,-26,235,1102,11,-145,*,*,--,--,108,668,1416,65,417,62,146,-3060,440,--,--,481,79,688,254,781,896,1110
"$10,000 under $25,000",3311,6085,1893,56818,2469,39826,1037,1395,502,985,409,149,297,2178,18,-47,48,88,*,*,433,7886,6133,303,5555,496,425,7740,1261,--,--,2443,1878,2169,2060,970,2371,1816
"$25,000 under $50,000",3718,7976,2537,135505,3074,101785,1645,2141,715,1574,563,1131,434,3263,31,-222,111,323,17,88,1225,46313,16314,928,35096,1488,1218,46047,3830,--,--,3652,9597,3242,8925,377,321,2081
"$50,000 under $75,000",2178,5712,1813,133599,1892,101899,1283,1835,566,1423,493,1537,293,3196,32,-151,69,189,*,*,1137,70521,18096,957,59605,2027,1133,70282,4666,10,8,2175,12251,2123,11374,--,--,1199
